哀而不傷	ai[wk er[ek bu[eu uh[rr
佛肸召	fo[rf xi[[ vc[dk
夫達也者	fu[er da[dz ye[vu ve[to
富而好禮者也	fu[gh er[ek hc[nz li[uv ve[to ye[vu
富而可求也	fu[gh er[ek ke[dk qq[hu ye[vu
夫二三	fu[er er[hh sj[hh
富而無驕	fu[gh er[ek wu[ee jn[mp
富而無驕易	fu[gh er[ek wu[ee jn[mp yi[ob
富貴在天	fu[gh gv[vb zd[ut tm[hd
夫何	fu[er he[rk
夫何為哉	fu[er he[rk ww[dl zd[tk
夫何憂何懼	fu[er he[rk yz[xy he[rk ju[xj
夫君	fu[er jy[xk
父沒	fu[bi mw[dj
父母唯其疾之憂	fu[bi mu[vv ww[kv qi[cb ji[bu vi[dv yz[xy
父母在	fu[bi mu[vv zd[ut
父母之年	fu[bi mu[vv vi[dv nm[rn
復其位	fu[ro qi[cb ww[rl
富且貴焉	fu[gh qp[ke gv[vb yj[hh
夫然後行	fu[er rj[xd hz[pk xk[rh
夫人不言	fu[er rf[pd bu[eu yj[we
夫仁者	fu[er rf[re ve[to
夫人自稱曰小童	fu[er rf[pd zi[pm ig[hd yt[wh xn[ub ts[lo
夫如是	fu[er ru[nk ui[op
夫三年之喪	fu[er sj[hh nm[rn vi[dv sh[ty
夫三子者之言何如	fu[er sj[hh zi[lh ve[to vi[dv yj[we he[rk ru[nk
膚受之愬	fu[oe uz[ay vi[dv uo[[
父為子隱	fu[bi ww[dl zi[lh yb[ed
夫聞也者	fu[er wf[me ye[vu ve[to
夫我則不暇	fu[er wo[pf ze[bd bu[eu xx[ok
富有	fu[gh yz[uo
富與貴	fu[gh yu[hv gv[vb
富哉	fu[gh zd[tk
父在	fu[bi zd[ut
夫召我者	fu[er vc[dk wo[pf ve[to
富之	fu[gh vi[dv
夫執輿者為誰	fu[er vi[fj yu[pb ve[to ww[dl uv[yv
服周之冕	fu[oe vz[kt vi[dv mm[od
夫顓臾	fu[er vr[uy yu[jr
夫子	fu[er zi[lh
夫子不答	fu[er zi[lh bu[eu da[vr
夫子不為也	fu[er zi[lh bu[eu ww[dl ye[vu
夫子不言	fu[er zi[lh bu[eu yj[we
夫子固有惑志於公伯寮	fu[er zi[lh gu[wg yz[uo ho[gx vi[ux yu[eu gs[bs bo[rb ln[gd
夫子何哂由也	fu[er zi[lh he[rk uf[kx yz[ou ye[vu
夫子何為	fu[er zi[lh he[rk ww[dl
夫子喟然嘆曰	fu[er zi[lh kv[kt rj[xd tj[ky yt[wh
夫子哂之	fu[er zi[lh uf[kx vi[dv
夫子聖者與	fu[er zi[lh ug[yt ve[to yu[hv
夫子時然後言	fu[er zi[lh ui[oc rj[xd hz[pk yj[we
夫子矢之曰	fu[er zi[lh ui[rd vi[dv yt[wh
夫子莞爾而笑	fu[er zi[lh wj[cg er[dx er[ek xn[vp
夫子為衛君乎	fu[er zi[lh ww[dl ww[eh jy[xk hu[pb
夫子溫良恭儉讓以得之	fu[er zi[lh wf[do ll[dg gs[gx jm[rr rh[yu yi[sr de[ro vi[dv
夫子憮然曰	fu[er zi[lh wu[xe rj[xd yt[wh
夫子循循然	fu[er zi[lh xy[rp xy[rp rj[xd
夫子焉不學	fu[er zi[lh yj[hh bu[eu xt[xz
夫子欲之	fu[er zi[lh yu[bd vi[dv
夫子之道	fu[er zi[lh vi[dv dc[bz
夫子之得邦家者	fu[er zi[lh vi[dv de[ro bh[fe jx[gu ve[to
夫子之牆數仞	fu[er zi[lh vi[dv ql[tt uu[mw rf[rd
夫子之求之也	fu[er zi[lh vi[dv qq[hu vi[dv ye[vu
夫子之說君子	fu[er zi[lh vi[dv uo[yb jy[xk zi[lh
夫子至於是邦也	fu[er zi[lh vi[ht yu[eu ui[op bh[fe ye[vu
夫子之雲	fu[er zi[lh vi[dv yy[es
夫子自道也	fu[er zi[lh zi[pm dc[bz ye[vu
蓋均無貧	gd[bm jy[tb wu[ee pb[fb
蓋闕如也	gd[bm qt[mn ru[nk ye[vu
蓋十世希不失矣	gd[bm ui[hu ui[nv xi[iu bu[eu ui[pe yi[su
蓋有不知而作之者	gd[bm yz[uo bu[eu vi[uk er[ek zo[rv vi[dv ve[to
蓋有之	gd[bm yz[uo vi[dv
改之為貴	gd[kw vi[dv ww[dl gv[vb
敢問	gj[vw wf[mk
敢問崇德	gj[vw wf[mk is[ug de[ru
敢問其次	gj[vw wf[mk qi[cb ci[dd
敢問死	gj[vw wf[mk si[hx
敢用玄牡	gj[vw ys[ou xr[wy mu[nt
敢昭告於皇皇后帝	gj[vw vc[od gc[nk yu[eu hl[bw hl[bw hz[pk di[lj
剛毅木訥	gh[kd yi[lj mu[ub ne[yk
告夫三子	gc[nk fu[er sj[hh zi[lh
羔裘	gc[bd qq[hy
羔裘玄冠不以吊	gc[bd qq[hy xr[wy gr[ge bu[eu yi[sr dn[kj
告於哀公曰	gc[nk yu[eu ai[wk gs[bs yt[wh
告諸往而知來者	gc[nk vu[yt wh[rd er[ek vi[uk ld[hm ve[to
高宗	gc[wk zs[ge
高宗諒陰	gc[wk zs[ge ll[yw yb[eo
割不正	ge[gd bu[eu vg[hv
割雞焉用牛刀	ge[gd ji[yn yj[hh ys[ou nq[pf dc[vp
各於其黨	ge[wk yu[eu qi[cb dh[xk
耕也	gg[le ye[vu
更也人皆仰之	gg[ho ye[vu rf[pd jp[bb yh[rp vi[dv
公伯寮其如命何	gs[bs bo[rb ln[gd qi[cb ru[nk mk[rh he[rk
公伯寮愬子路於季孫	gs[bs bo[rb ln[gd uo[[ zi[lh lu[zw yu[eu ji[hz sy[zx
公綽之不欲	gs[bs io[sb vi[dv bu[eu yu[bd
恭而安	gs[gx er[ek an[gn
恭而無禮則勞	gs[gx er[ek wu[ee li[uv ze[bd lc[cl
攻乎異端	gs[gw hu[pb yi[kc dr[lu
恭己正南面而已矣	gs[gx ji[kv vg[hv nj[uk mm[ew er[ek yi[kv yi[su
恭近於禮	gs[gx jb[jz yu[eu li[uv
恭寬信敏惠	gs[gx kr[gc xb[ry mb[rw hv[hx
公明賈對曰	gs[bs mk[oo jx[xb dv[yc yt[wh
攻其惡	gs[gw qi[cb ee[hx
公山弗擾以費畔召	gs[bs uj[uk fu[gp rc[fy yi[sr fw[fb pj[tb vc[dk
宮室而盡力乎溝洫	gs[gk ui[gh er[ek jb[ud li[vp hu[pb gz[db xu[dp
公叔文子之臣大夫僎	gs[bs uu[uy wf[wi zi[lh vi[dv if[ku dd[hr fu[er vr[[
公西華曰	gs[bs xi[hk hx[ru yt[wh
躬行君子	gs[ug xk[rh jy[xk zi[lh
工欲善其事	gs[hu yu[bd uj[yk qi[cb ui[hk
公曰	gs[bs yt[wh
恭則不侮	gs[gx ze[bd bu[eu wu[rr
公則說	gs[bs ze[bd uo[yb
攻之	gs[gw vi[dv
躬自厚而薄責於人	gs[ug zi[pm hz[io er[ek bo[cd ze[fb yu[eu rf[pd
苟合矣	gz[cb he[rh yi[su
苟美矣	gz[cb mw[bw yi[su
苟完矣	gz[cb wj[ge yi[su
苟無所不至矣	gz[cb wu[ee so[pj bu[eu vi[ht yi[su
苟有過	gz[cb yz[uo go[cz
苟有用我者	gz[cb yz[uo ys[ou wo[pf ve[to
苟正其身矣	gz[cb vg[hv qi[cb uf[pu yi[su
苟志於仁矣	gz[cb vi[ux yu[eu rf[re yi[su
苟子之不欲	gz[cb zi[lh vi[dv bu[eu yu[bd
觚不觚	gu[dp bu[eu gu[dp
故不為也	gu[gw bu[eu ww[dl ye[vu
故多能鄙事	gu[gw do[xx ng[sb bi[ke ui[hk
固而近於費	gu[wg er[ek jb[jz yu[eu fw[fb
鼓方叔入於河	gu[uu fh[dw uu[uy ru[pd yu[eu he[dk
故夫三桓之子孫微矣	gu[gw fu[er sj[hh hr[ah vi[dv zi[lh sy[zx ww[ru yi[su
故進之	gu[gw jb[ez vi[dv
故舊不遺	gu[gw jq[uo bu[eu yi[vz
沽酒市脯不食	gu[dg jq[dy ui[wj pu[of bu[eu ui[rl
故舊無大故	gu[gw jq[uo wu[ee da[hr gu[gw
故君子名之必可言也	gu[gw jy[xk zi[lh mk[xk vi[dv bi[xp ke[dk yj[we ye[vu
谷克伐怨欲不行焉	gu[bk ke[ge fa[rg yr[xx yu[bd bu[eu xk[rh yj[hh
鼓瑟希	gu[uu se[wx xi[iu
固天縱之將聖	gu[wg tm[hd zs[sr vi[dv jl[dx ug[yt
故退之	gu[gw tv[gz vi[dv
固相師之道也	gu[wg xl[am ui[uh vi[dv dc[bz ye[vu
故藝	gu[gw yi[cv
故遠人不服	gu[gw yr[ez rf[pd bu[eu fu[oe
觚哉	gu[dp zd[tk
古者民有三疾	gu[uk ve[to mb[kv yz[uo sj[hh ji[bu
古者言之不出	gu[uk ve[to yj[we vi[dv bu[eu iu[ck
古之	gu[uk vi[dv
古之道也	gu[uk vi[dv dc[bz ye[vu
古之狂也肆	gu[uk vi[dv kl[qw ye[vu si[iy
古之人皆然	gu[uk vi[dv rf[pd jp[bb rj[xd
古之賢人也	gu[uk vi[dv xm[ub rf[pd ye[vu
古之學者為己	gu[uk vi[dv xt[xz ve[to ww[dl ji[kv
古之愚也直	gu[uk vi[dv yu[ox ye[vu vi[uj
沽之哉	gu[dg vi[dv zd[tk
瓜祭	gx[ps ji[xe
觀過	gr[yj go[cz
關雎	gr[bt ju[qv
關雎之亂	gr[bt ju[qv vi[dv lr[qv
觀其所由	gr[yj qi[cb so[pj yz[ou
觀其行	gr[yj qi[cb xk[rh
觀其志	gr[yj qi[cb vi[ux
官事不攝	gr[gu ui[hk bu[eu ue[fe
管氏而知禮	gr[vg ui[pq er[ek vi[uk li[uv
管氏亦樹塞門	gr[vg ui[pq yi[wy uu[ay sd[gt mf[du
管氏有三歸	gr[vg ui[pq yz[uo sj[hh gv[ux
冠者五六人	gr[ge ve[to wu[hu lq[wb rf[pd
管仲不死	gr[vg vs[rv bu[eu si[hx
管仲非仁者與	gr[vg vs[rv fw[su rf[re ve[to yu[hv
管仲儉乎	gr[vg vs[rv jm[rr hu[pb
管仲之力也	gr[vg vs[rv vi[dv li[vp ye[vu
管仲之器小哉	gr[vg vs[rv vi[dv qi[kq xn[ub zd[tk
歸孔子豚	gv[ux ks[zv zi[lh ty[ou
龜玉毀於櫝中	gv[do yu[wd hv[jj yu[eu du[au vs[ku
過而不改	go[cz er[ek bu[eu gd[kw
過位	go[cz ww[rl
過也人皆見之	go[cz ye[vu rf[pd jp[bb jm[ke vi[dv
過猶不及	go[cz yz[qy bu[eu ji[pv
果哉	go[oa zd[tk
過則勿憚改	go[cz ze[bd wu[bp dj[xb gd[kw
過之	go[cz vi[dv
好剛不好學	hc[nz gh[kd bu[eu hc[nz xt[xz
好古	hc[nz gu[uk
好謀而成者也	hc[nz mz[yg er[ek ig[wv ve[to ye[vu
好仁不好學	hc[nz rf[re bu[eu hc[nz xt[xz
好仁者	hc[nz rf[re ve[to
好信不好學	hc[nz xb[ry bu[eu hc[nz xt[xz
好行小慧	hc[nz xk[rh xn[ub hv[fx
好學也已	hc[nz xt[xz ye[vu yi[kv
好勇不好學	hc[nz ys[sl bu[eu hc[nz xt[xz
好勇疾貧	hc[nz ys[sl ji[bu pb[fb
好直不好學	hc[nz vi[uj bu[eu hc[nz xt[xz
好知不好學	hc[nz vi[uk bu[eu hc[nz xt[xz
好之者	hc[nz vi[dv ve[to
何必	he[rk bi[xp
何必讀書	he[rk bi[xp du[yu uu[vv
何必改作	he[rk bi[xp gd[kw zo[rv
何必公山氏之之也	he[rk bi[xp gs[bs uj[uk ui[pq vi[dv vi[dv ye[vu
何必去父母之邦	he[rk bi[xp qu[ts fu[bi mu[vv vi[dv bh[fe
河不出圖	he[dk bu[eu iu[ck tu[ww
盍徹乎	he[tm ie[rq hu[pb
何德之衰	he[rk de[ru vi[dv uk[wk
何陋之有	he[rk lz[eh vi[dv yz[uo
何莫由斯道也	he[rk mo[co yz[ou si[qj dc[bz ye[vu
何其多能也	he[rk qi[cb do[xx ng[sb ye[vu
何如	he[rk ru[nk
何如斯可謂之士矣	he[rk ru[nk si[qj ke[dk ww[yt vi[dv ui[uh yi[su
何如斯可以從政矣	he[rk ru[nk si[qj ke[dk yi[sr cs[rr vg[hw yi[su
何傷乎	he[rk uh[rr hu[pb
何事於仁	he[rk ui[hk yu[eu rf[re
何為	he[rk ww[dl
和為貴	he[hk ww[dl gv[vb
何謂惠而不費	he[rk ww[yt hv[hx er[ek bu[eu fw[fb
何為其莫知子也	he[rk ww[dl qi[cb mo[co vi[uk zi[lh ye[vu
何謂四惡	he[rk ww[yt si[we ee[hx
何謂五美	he[rk ww[yt wu[hu mw[bw
何謂也	he[rk ww[yt ye[vu
何為則民服	he[rk ww[dl ze[bd mb[kv fu[oe
和無寡	he[hk wu[ee gx[gf
何晏也	he[rk yj[og ye[vu
何以報德	he[rk yi[sr bc[fe de[ru
何以伐為	he[rk yi[sr fa[rg ww[dl
何以文為	he[rk yi[sr wf[wi ww[dl
何有	he[rk yz[uo
何有於我哉	he[rk yz[uo yu[eu wo[pf zd[tk
何哉	he[rk zd[tk
何足算也	he[rk zu[kv sr[vm ye[vu
何足以臧	he[rk zu[kv yi[sr zh[wk
紅紫不以為褻服	hs[sg zi[vy bu[eu yi[sr ww[dl xp[wf fu[oe
後進於禮樂	hz[pk jb[ez yu[eu li[uv yt[px
後生可畏	hz[pk ug[pf ke[dk ww[th
後世必為子孫憂	hz[pk ui[nv bi[xp ww[dl zi[lh sy[zx yz[xy
後死者不得與	hz[pk si[hx ve[to bu[eu de[ro yu[hv
虎豹之鞟猶犬羊之鞟	hu[hj bc[pb vi[dv ko[[ yz[qy qr[dd yh[bs vi[dv ko[[
狐貉之厚以居	hu[qp he[pw vi[dv hz[io yi[sr ju[ug
狐裘	hu[qp qq[hy
虎兕出於柙	hu[hj si[ue iu[ck yu[eu xx[ao
互鄉難與言	hu[hv xl[sp nj[yv yu[hv yj[we
忽焉在後	hu[bx yj[hh zd[ut hz[pk
懷其寶而迷其邦	hk[xb qi[cb bc[gw er[ek mi[mz qi[cb bh[fe
患不知人也	hr[kx bu[eu vi[uk rf[pd ye[vu
患得之	hr[kx de[ro vi[dv
桓公九合諸侯	hr[ah gs[bs jq[pv he[rh vu[yt hz[rv
桓公殺公子糾	hr[ah gs[bs ua[ia gs[bs zi[lh jq[sv
煥乎其有文章	hr[hd hu[pb qi[cb yz[uo wf[wi vh[lo
患其不能也	hr[kx qi[cb bu[eu ng[sb ye[vu
患失之	hr[kx ui[pe vi[dv
患所以立	hr[kx so[pj yi[sr li[lh
桓魋其如予何	hr[ah tv[[ qi[cb ru[nk yu[sv he[rk
黃衣	hl[gy yi[wy
回何敢死	hv[wk he[rk gj[vw si[hx
誨女知之乎	hv[yr nv[vp vi[uk vi[dv hu[pb
誨人不倦	hv[yr rf[pd bu[eu jr[rb
惠人也	hv[hx rf[pd ye[vu
繪事後素	hv[sr ui[hk hz[pk su[fy
回雖不敏	hv[wk sv[ki bu[eu mb[rw
回也	hv[wk ye[vu
回也不改其樂	hv[wk ye[vu bu[eu gd[kw qi[cb le[px
回也不愚	hv[wk ye[vu bu[eu yu[ox
回也其庶乎	hv[wk ye[vu qi[cb uu[gn hu[pb
回也視予猶父也	hv[wk ye[vu ui[uj yu[sv yz[qy fu[bi ye[vu
惠則足以使人	hv[hx ze[bd zu[kv yi[sr ui[rh rf[pd
或承之羞	ho[gk ig[lu vi[dv xq[yi
或謂孔子曰	ho[gk ww[yt ks[zv zi[lh yt[wh
或問禘之說	ho[gk wf[mk di[[ vi[dv uo[yb
或問之曰	ho[gk wf[mk vi[dv yt[wh
或問子產	ho[gk wf[mk zi[lh ij[lp
或曰	ho[gk yt[wh
獲罪於天	ho[cq zv[sf yu[eu tm[hd
驥不稱其力	ji[mb bu[eu ig[hd qi[cb li[vp
既得之	ji[gj de[ro vi[dv
既而曰	ji[gj er[ek yt[wh
既富矣	ji[gj fu[gh yi[su
疾固也	ji[bu gu[wg ye[vu
季桓子受之	ji[hz hr[ah zi[lh uz[ay vi[dv
及階	ji[pv jp[er
既竭吾才	ji[gj jp[lo wu[wk cd[hu
繼絕世	ji[sm jt[sd ui[nv
季康子患盜	ji[hz kh[gx zi[lh hr[kx dc[dm
季康子問	ji[hz kh[gx zi[lh wf[mk
季康子問政於孔子	ji[hz kh[gx zi[lh wf[mk vg[hw yu[eu ks[zv zi[lh
季康子問政於孔子曰	ji[hz kh[gx zi[lh wf[mk vg[hw yu[eu ks[zv zi[lh yt[wh
既來之	ji[gj ld[hm vi[dv
季路問事鬼神	ji[hz lu[zw wf[mk ui[hk gv[be uf[uo
及其老也	ji[pv qi[cb lc[tb ye[vu
及其使人也	ji[pv qi[cb ui[rh rf[pd ye[vu
及其壯也	ji[pv qi[cb vl[du ye[vu
擊磬乎	ji[fk qk[ue hu[pb
祭肉不出三日	ji[xe rz[kr bu[eu iu[ck sj[hh ri[wh
祭如在	ji[xe ru[nk zd[ut
祭神如神在	ji[xe uf[uo ru[nk uf[uo zd[ut
季氏第十六	ji[hz ui[pq di[vg ui[hu lq[wb
季氏富於周公	ji[hz ui[pq fu[gh yu[eu vz[kt gs[bs
季氏將伐顓臾	ji[hz ui[pq jl[dx fa[rg vr[uy yu[jr
季氏將有事於顓臾	ji[hz ui[pq jl[dx yz[uo ui[hk yu[eu vr[uy yu[jr
季氏旅於泰山	ji[hz ui[pq lv[fr yu[eu td[su uj[uk
季氏使閔子騫為費宰	ji[hz ui[pq ui[rh mb[mw zi[lh qm[gm ww[dl fw[fb zd[gl
既庶矣	ji[gj uu[gn yi[su
祭思敬	ji[xe si[tx jk[cw
己所不欲	ji[kv so[pj bu[eu yu[bd
既往不咎	ji[gj wh[rd bu[eu jq[wk
及席	ji[pv xi[gn
己欲達而達人	ji[kv yu[bd da[dz er[ek da[dz rf[pd
祭於公	ji[xe yu[eu gs[bs
己欲立而立人	ji[kv yu[bd li[lh er[ek li[lh rf[pd
既欲其生	ji[gj yu[bd qi[cb ug[pf
吉月必朝服	ji[uk yt[ke bi[xp ic[uo fu[oe
期月而已可也	ji[qo yt[ke er[ek yi[kv ke[dk ye[vu
即之也溫	ji[ge vi[dv ye[vu wf[do
祭之以禮	ji[xe vi[dv yi[sr li[uv
疾之已甚	ji[bu vi[dv yi[kv uf[qv
棘子成曰	ji[cc zi[lh ig[wv yt[wh
季子然問	ji[hz zi[lh rj[xd wf[mk
箕子為之奴	ji[vq zi[lh ww[dl vi[dv nu[ny
加朝服	jx[lk ic[uo fu[oe
嘉善而矜不能	jx[ul uj[yk er[ek jb[yr bu[eu ng[sb
加我數年	jx[lk wo[pf uu[mw nm[rn
加之以師旅	jx[lk vi[dv yi[sr ui[uh lv[fr
見不善如探湯	jm[ke bu[eu uj[yk ru[nk tj[fg th[dv
見不賢而內自省也	jm[ke bu[eu xm[ub er[ek nw[kr zi[pm xk[xm ye[vu
見得思義	jm[ke de[ro si[tx yi[di
見利思義	jm[ke li[hd si[tx yi[di
見冕者與瞽者	jm[ke mm[od ve[to yu[hv gu[um ve[to
見其二子焉	jm[ke qi[cb er[hh zi[lh yj[hh
見齊衰者	jm[ke qi[wp uk[wk ve[to
見其與	jm[ke qi[cb yu[hv
見善如不及	jm[ke uj[yk ru[nk bu[eu ji[pv
見危授	jm[ke ww[de uz[fa
見賢思齊焉	jm[ke xm[ub si[tx qi[wp yj[hh
見小利則	jm[ke xn[ub li[hd ze[bd
見義不為	jm[ke yi[di bu[eu ww[dl
簡在帝心	jm[vm zd[ut di[lj xb[dv
儉則固	jm[rr ze[bd gu[wg
見之	jm[ke vi[dv
見志不從	jm[ke vi[ux bu[eu cs[rr
見子夏曰	jm[ke zi[lh xx[ew yt[wh
將命者出戶	jl[dx mk[rh ve[to iu[ck hu[du
將入門	jl[dx ru[pd mf[du
降一等	jl[ew yi[hh dg[vt
降志辱身矣	jl[ew vi[ux ru[ic uf[pu yi[su
皦如也	jn[[ ru[nk ye[vu
教之	jn[tw vi[dv
皆不及門也	jp[bb bu[eu ji[pv mf[du ye[vu
皆能有養	jp[bb ng[sb yz[uo yh[yp
桀溺曰	jp[xa ni[dg yt[wh
借人乘之	jp[rg rf[pd ig[qb vi[dv
皆雅言也	jp[bb ya[yv yj[we ye[vu
階也	jp[er ye[vu
節用而愛人	jp[ce ys[ou er[ek ai[au rf[pd
戒之在得	jp[gc vi[dv zd[ut de[ro
戒之在鬥	jp[gc vi[dv zd[ut dz[du
戒之在色	jp[gc vi[dv zd[ut se[db
皆坐	jp[bb zo[rr
今拜乎上	jb[rd bd[fh hu[pb uh[bh
今不取	jb[rd bu[eu qu[ey
謹而信	jb[yn er[ek xb[ry
今夫顓臾	jb[rd fu[er vr[uy yu[jr
盡美矣	jb[ud mw[bw yi[su
今女安	jb[rd nv[vp an[gn
今女畫	jb[rd nv[vp hx[ht
謹權量	jb[yn qr[ay ll[oh
近仁	jb[jz rf[re
浸潤之譖	jb[dx ry[dm vi[dv zf[yj
今亡矣夫	jb[rd wh[wv yi[su fu[er
晉文公譎而不正	jb[ho wf[wi gs[bs jt[yy er[ek bu[eu vg[hv
今也純儉	jb[rd ye[vu iy[st jm[rr
今也或是之亡也	jb[rd ye[vu ho[gk ui[op vi[dv wh[wv ye[vu
矜也廉	jb[yr ye[vu lm[gb
今也則亡	jb[rd ye[vu ze[bd wh[wv
今由與求也	jb[rd yz[ou yu[hv qq[hu ye[vu
近者說	jb[jz ve[to uo[yb
今之成人者何必然	jb[rd vi[dv ig[wv rf[pd ve[to he[rk bi[xp rj[xd
今之從政者殆而	jb[rd vi[dv cs[rr vg[hw ve[to dd[hs er[ek
今之從政者何如	jb[rd vi[dv cs[rr vg[hw ve[to he[rk ru[nk
今之矜也忿戾	jb[rd vi[dv jb[yr ye[vu ff[fx li[hq
今之狂也蕩	jb[rd vi[dv kl[qw ye[vu dh[cd
今之孝者	jb[rd vi[dv xn[tz ve[to
今之學者為人	jb[rd vi[dv xt[xz ve[to ww[dl rf[pd
今之愚也詐而已矣	jb[rd vi[dv yu[ox ye[vu va[yv er[ek yi[kv yi[su
近之則不孫	jb[jz vi[dv ze[bd bu[eu sy[zx
敬鬼神而遠之	jk[cw gv[be uf[uo er[ek yr[ez vi[dv
敬事而信	jk[cw ui[hk er[ek xb[ry
敬雖州里行乎哉	jk[cw sv[ki vz[dp li[ot xk[rh hu[pb zd[tk
井有仁焉	jk[ep yz[uo rf[re yj[hh
廄焚	jq[ig ff[ah
舊谷既沒	jq[uo gu[bk ji[gj mw[dj
九人而已	jq[pv rf[pd er[ek yi[kv
久要不忘平生之言	jq[xd yc[xn bu[eu wh[wx pk[hb ug[pf vi[dv yj[we
久矣吾不復夢見周公	jq[xd yi[su wu[wk bu[eu fu[ro mg[ax jm[ke vz[kt gs[bs
久矣哉	jq[xd yi[su zd[tk
就有道而正焉	jq[wy yz[uo dc[bz er[ek vg[hv yj[hh
居必遷坐	ju[ug bi[xp qm[qz zo[rr
俱不得其死然	ju[rj bu[eu de[ro qi[cb si[hx rj[xd
居不容	ju[ug bu[eu rs[xr
居處不安	ju[ug iu[wb bu[eu an[gn
居處恭	ju[ug iu[wb gs[gx
舉爾所知	ju[xf er[dx so[pj vi[uk
舉皋陶	ju[xf gc[bd yc[eb
鞠躬如也	ju[gb gs[ug ru[nk ye[vu
居簡而行簡	ju[ug jm[vm er[ek xk[rh jm[vm
居敬而行簡	ju[ug jk[cw er[ek xk[rh jm[vm
居其所而眾星共之	ju[ug qi[cb so[pj er[ek vs[rr xk[op gs[gb vi[dv
舉善而教不能	ju[xf uj[yk er[ek jn[tw bu[eu ng[sb
居上不寬	ju[ug uh[bh bu[eu kr[gc
居是邦也	ju[ug ui[op bh[fe ye[vu
舉枉錯諸	ju[xf wh[aw co[jg vu[yt
居無求安	ju[ug wu[ee qq[hu an[gn
居吾語女	ju[ug wu[wk yu[yw nv[vp
舉賢才	ju[xf xm[ub cd[hu
舉逸民	ju[xf yi[dz mb[kv
舉伊尹	ju[xf yi[rx yb[xp
舉一隅不以三隅反	ju[xf yi[hh yu[eo bu[eu yi[sr sj[hh yu[eo fj[py
據於德	ju[fu yu[eu de[ru
居則曰	ju[ug ze[bd yt[wh
居之不疑	ju[ug vi[dv bu[eu yi[bs
舉直錯諸枉	ju[xf vi[uj co[jg vu[yt wh[aw
居之無倦	ju[ug vi[dv wu[ee jr[rb
狷者有所不為也	jr[qk ve[to yz[uo so[pj bu[eu ww[dl ye[vu
君臣之義	jy[xk if[ku vi[dv yi[di
君稱之曰夫人	jy[xk ig[hd vi[dv yt[wh fu[er rf[pd
君賜生	jy[xk ci[bo ug[pf
君賜食	jy[xk ci[bo ui[rl
君賜腥	jy[xk ci[bo xk[oo
君而知禮	jy[xk er[ek vi[uk li[uv
君薨	jy[xk hs[ch
君祭	jy[xk ji[xe
君君臣臣父父子子	jy[xk jy[xk if[ku if[ku fu[bi fu[bi zi[lh zi[lh
軍旅之事	jy[gi lv[fr vi[dv ui[hk
君命召	jy[xk mk[rh vc[dk
君取於吳	jy[xk qu[ey yu[eu wu[kt
君使臣	jy[xk ui[rh if[ku
君使臣以禮	jy[xk ui[rh if[ku yi[sr li[uv
君視之	jy[xk ui[uj vi[dv
君孰與不足	jy[xk uu[wj yu[hv bu[eu zu[kv
君孰與足	jy[xk uu[wj yu[hv zu[kv
君曰告夫三子者	jy[xk yt[wh gc[nk fu[er sj[hh zi[lh ve[to
君在	jy[xk zd[ut
君召使擯	jy[xk vc[dk ui[rh bb[fg
君子	jy[xk zi[lh
君子病無能焉	jy[xk zi[lh bk[bh wu[ee ng[sb yj[hh
君子博學於文	jy[xk zi[lh bo[uf xt[xz yu[eu wf[wi
君子不可小知	jy[xk zi[lh bu[eu ke[dk xn[ub vi[uk
君子不器	jy[xk zi[lh bu[eu qi[kq
君子不入也	jy[xk zi[lh bu[eu ru[pd ye[vu
君子不施其親	jy[xk zi[lh bu[eu ui[fr qi[cb qb[la
君子不以紺緅飾	jy[xk zi[lh bu[eu yi[sr gj[sg zz[[ ui[ur
君子不以言舉人	jy[xk zi[lh bu[eu yi[sr yj[we ju[xf rf[pd
君子不憂不懼	jy[xk zi[lh bu[eu yz[xy bu[eu ju[xj
君子不重	jy[xk zi[lh bu[eu vs[ph
君子成人之美	jy[xk zi[lh ig[wv rf[pd vi[dv mw[bw
君子恥其言而過其行	jy[xk zi[lh ii[ev qi[cb yj[we er[ek go[cz qi[cb xk[rh
君子道者三	jy[xk zi[lh dc[bz ve[to sj[hh
君子多乎哉	jy[xk zi[lh do[xx hu[pb zd[tk
君子而不仁者有矣夫	jy[xk zi[lh er[ek bu[eu rf[re ve[to yz[uo yi[su fu[er
君子和而不同	jy[xk zi[lh he[hk er[ek bu[eu ts[kh
君子何患乎無兄	jy[xk zi[lh he[rk hr[kx hu[pb wu[ee xs[ke
君子懷德	jy[xk zi[lh hk[xb de[ru
君子懷刑	jy[xk zi[lh hk[xb xk[kd
君子惠而不費	jy[xk zi[lh hv[hx er[ek bu[eu fw[fb
君子疾夫舍曰欲之而必為之辭	jy[xk zi[lh ji[bu fu[er ue[rg yt[wh yu[bd vi[dv er[ek bi[xp ww[dl vi[dv ci[ql
君子疾沒世而名不稱焉	jy[xk zi[lh ji[bu mo[dj ui[nv er[ek mk[xk bu[eu ig[hd yj[hh
君子矜而不爭	jy[xk zi[lh jb[yr er[ek bu[eu vg[dx
君子敬而無失	jy[xk zi[lh jk[cw er[ek wu[ee ui[pe
君子居之	jy[xk zi[lh ju[ug vi[dv
君子可逝也	jy[xk zi[lh ke[dk ui[fz ye[vu
君子謀道不謀食	jy[xk zi[lh mz[yg dc[bz bu[eu mz[yg ui[rl
君子求諸己	jy[xk zi[lh qq[hu vu[yt ji[kv
