阿巴卡韋	aa[ek ba[ku ka[ub ww[hh
東莨菪鹼貼片	ds[qx lh[cl dh[cg jm[ew tp[bb pm[pu
東莨菪鹼注射液	ds[qx lh[cl dh[cg jm[ew vu[dd ue[uc ye[dw
東樂	ds[qx le[px
東樂膏	ds[qx le[px gc[wk
動粒	ds[el li[ml
動力不穩定性	ds[el li[vp bu[eu wf[hd dk[gp xk[xp
動力蛋白	ds[el li[vp dj[pi bd[po
動粒基因	ds[el li[ml ji[qt yb[wd
動力性尿路梗阻	ds[el li[vp xk[xp nn[uu lu[zw gg[ah zu[eq
動力懸吊	ds[el li[vp xr[qx dn[kj
動力學系數	ds[el li[vp xt[xz xi[py uu[mw
冬凌草	ds[wd lk[dt cc[co
冬凌草片	ds[wd lk[dt cc[co pm[pu
冬凌草糖漿	ds[wd lk[dt cc[co th[mg jl[du
東菱迪芙	ds[qx lk[ct di[yz fu[ce
冬卵	ds[wd lr[pe
動脈泵	ds[el md[od bg[eu
動脈插管	ds[el md[od ia[fq gr[vg
動脈膽道瘻	ds[el md[od dj[oo dc[bz lz[bm
動脈導管	ds[el md[od dc[kc gr[vg
動脈反搏	ds[el md[od fj[py bo[ff
動脈幹	ds[el md[od gj[hu
動脈管路濾器	ds[el md[od gr[vg lu[zw lv[dh qi[kq
動脈管路氣泡捕集器	ds[el md[od gr[vg lu[zw qi[rh pc[db bu[ff ji[va qi[kq
動脈環	ds[el md[od hr[wb
動脈夾	ds[el md[od jx[hb
動脈瘤造影	ds[el md[od lq[bp zc[nz yk[op
動脈內化療	ds[el md[od nw[kr hx[rq ln[bl
動脈內膜	ds[el md[od nw[kr mo[oc
動脈球	ds[el md[od qq[wh
動脈熱交換器	ds[el md[od re[fd jn[li hr[fd qi[kq
動脈輸血	ds[el md[od uu[ir xt[pm
動脈輸液	ds[el md[od uu[ir ye[dw
動脈血返回	ds[el md[od xt[pm fj[pz hv[wk
動脈壓監測	ds[el md[od ya[it jm[um ce[db
動脈移植	ds[el md[od yi[hx vi[au
動脈圓錐	ds[el md[od yr[wk vv[jv
動脈粥樣斑	ds[el md[od vz[gm yh[ay bj[ww
動脈貯血室	ds[el md[od vu[bg xt[pm ui[gh
東梅止咳	ds[qx mw[ar vi[uh ke[kw
東梅止咳顆粒	ds[qx mw[ar vi[uh ke[kw ke[oy li[ml
冬眠合劑	ds[wd mm[mm he[rh ji[wd
冬眠合劑二號	ds[wd mm[mm he[rh ji[wd er[hh hc[kk
冬眠合劑三號	ds[wd mm[mm he[rh ji[wd sj[hh hc[kk
洞面角	ds[dk mm[ew jn[do
冬眠靈	ds[wd mm[mm lk[xh
冬青補汁	ds[wd qk[fo bu[yb vi[du
東日清脂靈	ds[qx ri[wh qk[df vi[ob lk[xh
冬茸補腎	ds[wd rs[ce bu[yb uf[uo
冬茸補腎膠囊	ds[wd rs[ce bu[yb uf[uo jn[ol nh[hk
東山感冒	ds[qx uj[uk gj[wx mc[om
東山感冒片	ds[qx uj[uk gj[wx mc[om pm[pu
洞天長春	ds[dk tm[hd ih[ph iy[so
洞天長春膏	ds[dk tm[hd ih[ph iy[so gc[wk
冬菀止咳	ds[wd wj[cg vi[uh ke[kw
冬菀止咳顆粒	ds[wd wj[cg vi[uh ke[kw ke[oy li[ml
東維力	ds[qx ww[sv li[vp
東溫	ds[qx wf[do
動物蛋白因子	ds[el wu[nb dj[pi bd[po yb[wd zi[lh
動物極	ds[el wu[nb ji[aj
動物激素	ds[el wu[nb ji[db su[fy
動物細胞	ds[el wu[nb xi[st bc[ob
動物育種	ds[el wu[nb yu[wo vs[hv
動物脂	ds[el wu[nb vi[ob
動物志	ds[el wu[nb vi[ux
動纖毛	ds[el xm[sq mc[sv
洞斜面	ds[dk xp[rd mm[ew
動眼神經	ds[el yj[mg uf[uo jk[ss
東藥富淨	ds[qx yc[cs fu[gh jk[dd
東藥孚康	ds[qx yc[cs fu[az kh[gx
東藥快乾	ds[qx yc[cs kk[xv gj[hu
東藥奇敏	ds[qx yc[cs qi[dk mb[rw
東藥首康	ds[qx yc[cs uz[be kh[gx
東藥萬琦	ds[qx yc[cs wj[hv qi[wd
東藥心泰恆	ds[qx yc[cs xb[dv td[su hg[xh
東醫	ds[qx yi[ku
動質	ds[el vi[pu
動作電位	ds[el zo[rv dm[ov ww[rl
動作光譜	ds[el zo[rv gl[xe pu[yb
兜布	dz[pe bu[uj
豆膽綠蛋白	dz[hk dj[oo lv[sx dj[pi bd[po
竇道	dz[xu dc[bz
竇房結動脈	dz[xu fh[hf jp[su ds[el md[od
豆腐果苷	dz[hk fu[gk go[oa gj[cg
豆腐果苷片	dz[hk fu[gk go[oa gj[cg pm[pu
豆腐果素	dz[hk fu[gk go[oa su[fy
豆固醇	dz[hk gu[wg iy[yw
豆姜	dz[hk jl[bn
都可喜	dz[te ke[dk xi[uk
豆科植物	dz[hk ke[hd vi[au wu[nb
豆蔻	dz[hk kz[cg
豆蔻醚	dz[hk kz[cg mi[ym
豆蔻酸甘油酯	dz[hk kz[cg sr[ys gj[nh yz[dy vi[yb
豆蔻五味散	dz[hk kz[cg wu[hu ww[kh sj[gw
兜鈴	dz[pe lk[jr
豆球蛋白	dz[hk qq[wh dj[pi bd[po
豆象	dz[hk xl[dk
鬥形紋	dz[du xk[kp wf[sw
豆血紅蛋白	dz[hk xt[pm hs[sg dj[pi bd[po
痘樣痤瘡	dz[bd yh[ay co[br il[br
竇抑素	dz[xu yi[fp su[fy
竇狀隙	dz[xu vl[dq xi[ex
杜邦納	du[at bh[fe na[sk
毒扁豆鹼	du[fm bm[hk dz[hk jm[ew
杜頓鉅細胞	du[at dy[ty ju[kk xi[st bc[ob
毒光藥木糖	du[fm gl[xe yc[cs mu[ub th[mg
杜桂	du[at gv[at
杜衡	du[at hg[rd
獨活	du[qi ho[dq
獨活寄生	du[qi ho[dq ji[gd ug[pf
獨活寄生顆粒	du[qi ho[dq ji[gd ug[pf ke[oy li[ml
獨活寄生口服液	du[qi ho[dq ji[gd ug[pf kz[uv fu[oe ye[dw
獨活寄生湯	du[qi ho[dq ji[gd ug[pf th[dv
獨活寄生丸	du[qi ho[dq ji[gd ug[pf wj[jd
獨活止痛	du[qi ho[dq vi[uh ts[bs
獨活止痛搽劑	du[qi ho[dq vi[uh ts[bs ia[fc ji[wd
杜記獨角	du[at ji[yk du[qi jn[do
杜記獨角膏	du[at ji[yk du[qi jn[do gc[wk
毒激素	du[fm ji[db su[fy
獨角膏	du[qi jn[do gc[wk
獨角蓮膏	du[qi jn[do lm[ci gc[wk
獨角蓮膏藥	du[qi jn[do lm[ci gc[wk yc[cs
毒劇藥	du[fm ju[ud yc[cs
毒劇藥散劑	du[fm ju[ud yc[cs sj[gw ji[wd
杜鵑花	du[at jr[kn hx[cr
杜鵑花葉	du[at jr[kn hx[cr ye[ku
杜鵑素	du[at jr[kn su[fy
讀框	du[yu kl[ak
杜拉寶	du[at la[fl bc[gw
毒力	du[fm li[vp
獨立分配	du[qi li[lh ff[bd pw[yk
毒藜鹼	du[fm li[ch jm[ew
都梁	du[te ll[da
都梁滴丸	du[te ll[da di[dl wj[jd
都梁軟膠囊	du[te ll[da rr[id jn[ol nh[hk
都梁丸	du[te ll[da wj[jd
渡洛捷	du[dg lo[dw jp[fh
毒毛花苷	du[fm mc[sv hx[cr gj[cg
毒毛花苷注射液	du[fm mc[sv hx[cr gj[cg vu[dd ue[uc ye[dw
毒毛旋花二糖	du[fm mc[sv xr[fr hx[cr er[hh th[mg
毒毛旋花苷	du[fm mc[sv xr[fr hx[cr gj[cg
毒毛旋花苷配基	du[fm mc[sv xr[fr hx[cr gj[cg pw[yk ji[qt
毒毛旋花素注射液	du[fm mc[sv xr[fr hx[cr su[fy vu[dd ue[uc ye[dw
度米芬	du[gn mi[ba ff[cf
度米芬滴丸	du[gn mi[ba ff[cf di[dl wj[jd
度米芬含片	du[gn mi[ba ff[cf hj[rk pm[pu
度米芬喉片	du[gn mi[ba ff[cf hz[kr pm[pu
杜密克	du[at mi[gu ke[ge
都氣丸	du[te qi[rh wj[jd
毒芹鹼	du[fm qb[cj jm[ew
毒傘蕈毒素	du[fm sj[rb xy[cx du[fm su[fy
獨聖活血	du[qi ug[yt ho[dq xt[pm
獨聖活血片	du[qi ug[yt ho[dq xt[pm pm[pu
杜松	du[at ss[ab
毒素結合蛋白	du[fm su[fy jp[su he[rh dj[pi bd[po
度泰利特	du[gn td[su li[hd te[nt
獨特位	du[qi te[nt ww[rl
獨特型變異	du[qi te[nt xk[kt bm[yy yi[kc
肚痛健胃整腸	du[ot ts[bs jm[ry ww[to vg[hh ih[ov
肚痛健胃整腸丸	du[ot ts[bs jm[ry ww[to vg[hh ih[ov wj[jd
肚痛丸	du[ot ts[bs wj[jd
肚痛整腸	du[ot ts[bs vg[hh ih[ov
杜香油	du[at xl[ho yz[dy
杜香油膠丸	du[at xl[ho yz[dy jn[ol wj[jd
杜小體	du[at xn[ub ti[ra
毒蕈	du[fm xy[cx
毒蕈鹼	du[fm xy[cx jm[ew
獨一味	du[qi yi[hh ww[kh
獨一味分散片	du[qi yi[hh ww[kh ff[bd sj[gw pm[pu
獨一味膠囊	du[qi yi[hh ww[kh jn[ol nh[hk
獨一味咀嚼片	du[qi yi[hh ww[kh ju[kq jt[ka pm[pu
獨一味顆粒	du[qi yi[hh ww[kh ke[oy li[ml
獨一味片	du[qi yi[hh ww[kh pm[pu
獨一味軟膠囊	du[qi yi[hh ww[kh rr[id jn[ol nh[hk
獨有決定簇	du[qi yz[uo jt[dv dk[gp cu[vf
獨有特異性	du[qi yz[uo te[nt yi[kc xk[xp
杜蛭	du[at vi[ih
杜蛭丸	du[at vi[ih wj[jd
杜仲	du[at vs[rv
杜仲補天素	du[at vs[rv bu[yb tm[hd su[fy
杜仲補天素片	du[at vs[rv bu[yb tm[hd su[fy pm[pu
杜仲補天素丸	du[at vs[rv bu[yb tm[hd su[fy wj[jd
杜仲補腰	du[at vs[rv bu[yb yc[ox
杜仲補腰口服液	du[at vs[rv bu[yb yc[ox kz[uv fu[oe ye[dw
杜仲絞股藍	du[at vs[rv jn[sl gu[oj lj[cu
杜仲絞股藍口服液	du[at vs[rv jn[sl gu[oj lj[cu kz[uv fu[oe ye[dw
杜仲顆粒	du[at vs[rv ke[oy li[ml
杜仲平壓	du[at vs[rv pk[hb ya[it
杜仲平壓膠囊	du[at vs[rv pk[hb ya[it jn[ol nh[hk
杜仲平壓片	du[at vs[rv pk[hb ya[it pm[pu
杜仲雙降	du[at vs[rv ul[yy jl[ew
杜仲雙降袋泡劑	du[at vs[rv ul[yy jl[ew dd[ry pc[db ji[wd
杜仲藥酒	du[at vs[rv yc[cs jq[dy
杜仲葉	du[at vs[rv ye[ku
杜仲壯骨膠囊	du[at vs[rv vl[du gu[ko jn[ol nh[hk
杜仲壯骨丸	du[at vs[rv vl[du gu[ko wj[jd
短棒菌苗	dr[ud bh[as jy[cw mn[ct
短棒狀桿菌製劑	dr[ud bh[as vl[dq gj[ag jy[cw vi[nd ji[wd
短臂	dr[ud bi[uo
端側吻合	dr[lu ce[rb wf[kb he[rh
斷層皮片	dr[mj cg[ue pi[vp pm[pu
煅磁石	dr[hp ci[eb ui[ek
端端吻合	dr[lu dr[lu wf[kb he[rh
斷髮毛癬菌	dr[mj fa[vy mc[sv xr[by jy[cw
短桿菌素	dr[ud gj[ag jy[cw su[fy
短桿菌肽	dr[ud gj[ag jy[cw td[od
短杆黴素	dr[ud gj[ag mw[yr su[fy
端黃卵	dr[lu hl[gy lr[pe
端基異構效應	dr[lu ji[qt yi[kc gz[ab xn[lw yk[gx
短尖頭	dr[ud jm[xd tz[dd
短角果	dr[ud jn[do go[oa
短莖	dr[ud jk[cs
端孔	dr[lu ks[zv
端粒酶	dr[lu li[ml mw[yr
斷裂蛋白	dr[mj lp[hy dj[pi bd[po
斷裂熱點	dr[mj lp[hy re[fd dm[bd
煅龍牡	dr[hp ls[yp mu[nt
短裸甲藻毒素	dr[ud lo[yo jx[ou zc[cd du[fm su[fy
短命植物	dr[ud mk[rh vi[au wu[nb
煅牡蠣	dr[hp mu[nt li[ii
短期培養	dr[ud qi[qo pw[tl yh[yp
短茸毛	dr[ud rs[ce mc[sv
煅石膏	dr[hp ui[ek gc[wk
端絲	dr[lu si[sh
鍛絲卡環	dr[jp si[sh ka[ub hr[wb
短肽型腸內營養劑	dr[ud td[od xk[kt ih[ov nw[kr yk[ck yh[yp ji[wd
短頭畸形	dr[ud tz[dd ji[td xk[kp
煅瓦楞	dr[hp wa[hv lg[as
短腕幼蟲	dr[ud wj[og yz[yl is[ks
斷血流	dr[mj xt[pm lq[dw
斷血流膠囊	dr[mj xt[pm lq[dw jn[ol nh[hk
斷血流顆粒	dr[mj xt[pm lq[dw ke[oy li[ml
斷血流口服液	dr[mj xt[pm lq[dw kz[uv fu[oe ye[dw
斷血流泡騰片	dr[mj xt[pm lq[dw pc[db tg[ob pm[pu
斷血流片	dr[mj xt[pm lq[dw pm[pu
斷血流軟膠囊	dr[mj xt[pm lq[dw rr[id jn[ol nh[hk
短暫表達	dr[ud zj[io bn[fy da[dz
斷肢再植	dr[mj vi[ou zd[hk vi[au
斷指再植	dr[mj vi[fb zd[hk vi[au
對氨基苯甲酸	dv[yc an[qg ji[qt bf[ca jx[ou sr[ys
對氨基馬尿酸鈉	dv[yc an[qg ji[qt ma[vv nn[uu sr[ys na[jk
對氨基水楊酸鈣	dv[yc an[qg ji[qt uv[uu yh[av sr[ys gd[jx
對氨基水楊酸鈣片	dv[yc an[qg ji[qt uv[uu yh[av sr[ys gd[jx pm[pu
對氨基水楊酸鈉	dv[yc an[qg ji[qt uv[uu yh[av sr[ys na[jk
對氨基水楊酸鈉腸溶片	dv[yc an[qg ji[qt uv[uu yh[av sr[ys na[jk ih[ov rs[dx pm[pu
對氨基水楊酸鈉片	dv[yc an[qg ji[qt uv[uu yh[av sr[ys na[jk pm[pu
對氨基水楊酸異煙肼	dv[yc an[qg ji[qt uv[uu yh[av sr[ys yi[kc yj[hw jk[oe
對氨基水楊酸異煙肼片	dv[yc an[qg ji[qt uv[uu yh[av sr[ys yi[kc yj[hw jk[oe pm[pu
對半甲	dv[yc bj[bf jx[ou
對半卡環	dv[yc bj[bf ka[ub hr[wb
對比劑	dv[yc bi[bb ji[wd
對丙烯基苯酚	dv[yc bk[hk xi[hi ji[qt bf[ca ff[yf
對稱聯體兒	dv[yc if[hd lm[eb ti[ra er[pv
對稱性轉錄	dv[yc if[hd xk[xp vr[ie lu[xu
對碘苯磺酰氨基酸	dv[yc dm[ed bf[ca hl[eg xm[yn an[qg ji[qt sr[ys
對二丙磺酰胺基苯甲酸	dv[yc er[hh bk[hk hl[eg xm[yn an[og ji[qt bf[ca jx[ou sr[ys
對二甲氨乙基苯酚	dv[yc er[hh jx[ou an[qg yi[vv ji[qt bf[ca ff[yf
對耳輪	dv[yc er[hu ly[ir
對耳輪腳	dv[yc er[hu ly[ir jn[ot
對耳輪彈性組織結節	dv[yc er[hu ly[ir tj[gb xk[xp zu[sq vi[sk jp[su jp[ce
對耳屏	dv[yc er[hu pk[ub
對氟芬太尼	dv[yc fu[qf ff[cf td[dd ni[ub
對甲苯磺酰	dv[yc jx[ou bf[ca hl[eg xm[yn
對甲苯磺酰脲	dv[yc jx[ou bf[ca hl[eg xm[yn nn[ou
對甲基苯甲醇煙酸酯	dv[yc jx[ou ji[qt bf[ca jx[ou iy[yw yj[hw sr[ys vi[yb
對甲氧基苯甲醛	dv[yc jx[ou yh[qy ji[qt bf[ca jx[ou qr[yc
對甲氧基苯甲酰氯	dv[yc jx[ou yh[qy ji[qt bf[ca jx[ou xm[yn lv[qx
對聚氧乙烯型	dv[yc ju[ep yh[qy yi[vv xi[hi xk[kt
對抗物	dv[yc kh[fw wu[nb
對抗作用	dv[yc kh[fw zo[rv ys[ou
對流電泳	dv[yc lq[dw dm[ov ys[dd
對氯苯丁胺	dv[yc lv[qx bf[ca dk[hu an[og
堆密度	dv[tv mi[gu du[gn
對偶皮瓣	dv[yc ou[ro pi[vp bj[lp
對羥苯丙氨酸	dv[yc ql[ys bf[ca bk[hk an[qg sr[ys
對羥苯丙烯酸	dv[yc ql[ys bf[ca bk[hk xi[hi sr[ys
對羥苯乙基三甲基銨	dv[yc ql[ys bf[ca yi[vv ji[qt sj[hh jx[ou ji[qt an[jg
對羥苄青黴素	dv[yc ql[ys bm[cd qk[fo mw[yr su[fy
對羥基苯甲酸丙酯	dv[yc ql[ys ji[qt bf[ca jx[ou sr[ys bk[hk vi[yb
對羥基苯甲酸乙酯	dv[yc ql[ys ji[qt bf[ca jx[ou sr[ys yi[vv vi[yb
對羥基苯甲酸酯類	dv[yc ql[ys ji[qt bf[ca jx[ou sr[ys vi[yb lw[md
對傘花烴	dv[yc sj[rb hx[cr tk[hs
對傘花烴膠丸	dv[yc sj[rb hx[cr tk[hs jn[ol wj[jd
對殺蟲劑	dv[yc ua[ia is[ks ji[wd
對數機率矩陣	dv[yc uu[mw ji[pv lv[wu ju[uk vf[ei
對位縫合	dv[yc ww[rl fg[sw he[rh
對葉百部鹼	dv[yc ye[ku bd[eo bu[le jm[ew
對乙酰氨基酚	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf
對乙酰氨基酚滴劑	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf di[dl ji[wd
對乙酰氨基酚分散片	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf ff[bd sj[gw pm[pu
對乙酰氨基酚幹混懸劑	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf gj[hu hy[do xr[qx ji[wd
對乙酰氨基酚緩釋片	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf hr[sa ui[py pm[pu
對乙酰氨基酚混懸滴劑	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf hy[do xr[qx di[dl ji[wd
對乙酰氨基酚混懸液	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf hy[do xr[qx ye[dw
對乙酰氨基酚膠囊	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf jn[ol nh[hk
對乙酰氨基酚咀嚼片	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf ju[kq jt[ka pm[pu
對乙酰氨基酚顆粒	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf ke[oy li[ml
對乙酰氨基酚口服液	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf kz[uv fu[oe ye[dw
對乙酰氨基酚凝膠	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf nk[db jn[ol
對乙酰氨基酚泡騰顆粒	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf pc[db tg[ob ke[oy li[ml
對乙酰氨基酚泡騰片	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf pc[db tg[ob pm[pu
對乙酰氨基酚片	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf pm[pu
對乙酰氨基酚溶液	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf rs[dx ye[dw
對乙酰氨基酚栓	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf ur[ar
對乙酰氨基酚糖漿	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf th[mg jl[du
對乙酰氨基酚丸	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf wj[jd
對乙酰氨基酚鋅	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf xb[jl
對乙酰氨基酚異丙嗪	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf yi[kc bk[hk qb[ks
對乙酰氨基酚異丙嗪注射液	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf yi[kc bk[hk qb[ks vu[dd ue[uc ye[dw
對乙酰氨基酚注射液	dv[yc yi[vv xm[yn an[qg ji[qt ff[yf vu[dd ue[uc ye[dw
對乙酰氨基酸片	dv[yc yi[vv xm[yn an[qg ji[qt sr[ys pm[pu
對映體	dv[yc yk[ok ti[ra
對照品與照藥材	dv[yc vc[od pb[kk yu[hv vc[od yc[cs cd[ac
對照組	dv[yc vc[od zu[sq
對座草	dv[yc zo[gr cc[co
鈍剝離	dy[jt bo[xd li[wk
鈍化作用	dy[jt hx[rq zo[rv ys[ou
頓克	dy[ty ke[ge
盾母醇	dy[pu mu[vv iy[yw
盾片	dy[pu pm[pu
鈍頭扁平苔蘚	dy[jt tz[dd bm[hk pk[hb td[cs xm[cy
盾葉冠心寧	dy[pu ye[ku gr[ge xb[dv nk[gd
盾葉冠心寧片	dy[pu ye[ku gr[ge xb[dv nk[gd pm[pu
鈍緣支動脈	dy[jt yr[sv vi[uy ds[el md[od
多巴胺	do[xx ba[ku an[og
多巴胺羥化酶	do[xx ba[ku an[og ql[ys hx[rq mw[yr
多巴胺注射液	do[xx ba[ku an[og vu[dd ue[uc ye[dw
多靶存活曲線	do[xx ba[gb cy[uz ho[dq qu[ou xm[sj
多巴酚丁胺	do[xx ba[ku ff[yf dk[hu an[og
多巴酚丁胺注射液	do[xx ba[ku ff[yf dk[hu an[og vu[dd ue[uc ye[dw
多巴色素	do[xx ba[ku se[db su[fy
多巴絲肼	do[xx ba[ku si[sh jk[oe
多巴絲肼膠囊	do[xx ba[ku si[sh jk[oe jn[ol nh[hk
多巴絲肼片	do[xx ba[ku si[sh jk[oe pm[pu
多貝斯	do[xx bw[kr si[qj
多倍體	do[xx bw[rl ti[ra
多倍性	do[xx bw[rl xk[xp
多變專一表面糖蛋白	do[xx bm[yy vr[ev yi[hh bn[fy mm[ew th[mg dj[pi bd[po
多病因理論	do[xx bk[bh yb[wd li[wo ly[yr
多層代謝途徑	do[xx cg[ue dd[rq xp[yu tu[rz jk[rs
多層片	do[xx cg[ue pm[pu
多重序列比對	do[xx is[ph xu[gy lp[hd bi[bb dv[yc
多次擊中靶	do[xx ci[dd ji[fk vs[ku ba[gb
多次擊中存活曲線	do[xx ci[dd ji[fk vs[ku cy[uz ho[dq qu[ou xm[sj
多刺綠絨蒿	do[xx ci[cd lv[sx rs[sg hc[cw
多次腎移植	do[xx ci[dd uf[uo yi[hx vi[au
多次展開	do[xx ci[dd vj[ug kd[hc
多點取樣	do[xx dm[bd qu[ey yh[ay
多動寧	do[xx ds[el nk[gd
多動寧膠囊	do[xx ds[el nk[gd jn[ol nh[hk
多發性骨髓瘤	do[xx fa[vy xk[xp gu[ko sv[gu lq[bp
多發性外生骨疣	do[xx fa[vy xk[xp wd[xb ug[pf gu[ko yz[by
多發性纖維上皮增生	do[xx fa[vy xk[xp xm[sq ww[sv uh[bh pi[vp zg[tb ug[pf
多發性脂肪瘤	do[xx fa[vy xk[xp vi[ob fh[of lq[bp
多房性囊性腎瘤	do[xx fh[hf xk[xp nh[hk xk[xp uf[uo lq[bp
多酚氧化酶	do[xx ff[yf yh[qy hx[rq mw[yr
多根烏頭鹼	do[xx gf[ag wu[bv tz[dd jm[ew
多功能酶	do[xx gs[gl ng[sb mw[yr
多功能美容機	do[xx gs[gl ng[sb mw[bw rs[xr ji[aj
多股絲	do[xx gu[oj si[sh
多核苷酸	do[xx he[aw gj[cg sr[ys
多核苷酸核苷酰轉移酶	do[xx he[aw gj[cg sr[ys he[aw gj[cg xm[yn vr[ie yi[hx mw[yr
多核苷酸連接酶	do[xx he[aw gj[cg sr[ys lm[iz jp[fl mw[yr
多核糖體	do[xx he[aw th[mg ti[ra
多核體	do[xx he[aw ti[ra
多核細胞	do[xx he[aw xi[st bc[ob
多化性	do[xx hx[rq xk[xp
多磺酸粘多糖	do[xx hl[eg sr[ys nm[mb do[xx th[mg
多磺酸粘多糖乳膏	do[xx hl[eg sr[ys nm[mb do[xx th[mg ru[av gc[wk
多劑量包裝	do[xx ji[wd ll[oh bc[bk vl[dy
多劑量給藥	do[xx ji[wd ll[oh gw[sr yc[cs
多基因	do[xx ji[qt yb[wd
多價	do[xx jx[rr
多價抗血清	do[xx jx[rr kh[fw xt[pm qk[df
多價氣壞性疽抗毒素	do[xx jx[rr qi[rh hk[tb xk[xp ju[bq kh[fw du[fm su[fy
多價氣性壞疽抗毒素	do[xx jx[rr qi[rh xk[xp hk[tb ju[bq kh[fw du[fm su[fy
惰鹼	do[xu jm[ew
多精入卵	do[xx jk[mf ru[pd lr[pe
多聚半乳糖醛酸	do[xx ju[ep bj[bf ru[av th[mg qr[yc sr[ys
多聚電解質	do[xx ju[ep dm[ov jp[dd vi[pu
多聚複合物	do[xx ju[ep fu[ro he[rh wu[nb
多聚甘氨酸	do[xx ju[ep gj[nh an[qg sr[ys
多聚肌苷酸多聚胞苷酸	do[xx ju[ep ji[oj gj[cg sr[ys do[xx ju[ep bc[ob gj[cg sr[ys
多聚甲醛	do[xx ju[ep jx[ou qr[yc
多聚甲醛幹髓劑	do[xx ju[ep jx[ou qr[yc gj[hu sv[gu ji[wd
多聚賴氨酸硅藻土	do[xx ju[ep ld[hd an[qg sr[ys gv[et zc[cd tu[uh
多聚兩性電解質	do[xx ju[ep ll[hk xk[xp dm[ov jp[dd vi[pu
多聚酶	do[xx ju[ep mw[yr
多聚酶鏈式反應	do[xx ju[ep mw[yr lm[ji ui[qg fj[py yk[gx
多聚明膠注射液	do[xx ju[ep mk[oo jn[ol vu[dd ue[uc ye[dw
多聚尿苷酸	do[xx ju[ep nn[uu gj[cg sr[ys
多聚醛制黴素鈉	do[xx ju[ep qr[yc vi[nd mw[yr su[fy na[jk
多聚糖制黴菌素	do[xx ju[ep th[mg vi[nd mw[yr jy[cw su[fy
多聚體	do[xx ju[ep ti[ra
多聚脫氧核苷酸	do[xx ju[ep to[ob yh[qy he[aw gj[cg sr[ys
多聚腺苷酸化	do[xx ju[ep xm[ob gj[cg sr[ys hx[rq
多聚異戊二烯	do[xx ju[ep yi[kc wu[iv er[hh xi[hi
多聚乙酰	do[xx ju[ep yi[vv xm[yn
多康佳	do[xx kh[gx jx[rt
多抗甲素	do[xx kh[fw jx[ou su[fy
多抗甲素口服液	do[xx kh[fw jx[ou su[fy kz[uv fu[oe ye[dw
多克隆活化因子	do[xx ke[ge ls[ew ho[dq hx[rq yb[wd zi[lh
多克隆抗體	do[xx ke[ge ls[ew kh[fw ti[ra
多孔菌	do[xx ks[zv jy[cw
多孔菌酸	do[xx ks[zv jy[cw sr[ys
多庫酯鈉	do[xx ku[gi vi[yb na[jk
多庫酯鈉丹蒽醌	do[xx ku[gi vi[yb na[jk dj[kw en[cw ky[yo
多庫酯鈉丹蒽醌膠囊	do[xx ku[gi vi[yb na[jk dj[kw en[cw ky[yo jn[ol nh[hk
多拉司瓊	do[xx la[fl si[vh qs[ww
多力康	do[xx li[vp kh[gx
多力瑪	do[xx li[vp ma[wm
多聯體	do[xx lm[eb ti[ra
多龍	do[xx ls[yp
多輪式	do[xx ly[ir ui[qg
多濾平片	do[xx lv[dh pk[hb pm[pu
多毛真菌酸	do[xx mc[sv vf[uj jy[cw sr[ys
多酶	do[xx mw[yr
多酶片	do[xx mw[yr pm[pu
多酶系統	do[xx mw[yr xi[py ts[sw
多膜電滲傾潷	do[xx mo[oc dm[ov uf[ds qk[rb bi[dv
多奈哌齊	do[xx nd[de pd[kp qi[wp
多能止血紗布	do[xx ng[sb vi[uh xt[pm ua[sx bu[uj
多黏菌素	do[xx nm[hb jy[cw su[fy
多粘菌素	do[xx nm[mb jy[cw su[fy
多廿烷醇	do[xx nm[ch wj[hg iy[yw
多尿型腎	do[xx nn[uu xk[kt uf[uo
多帕菲	do[xx pa[jb fw[cf
多潘	do[xx pj[dp
多潘立酮	do[xx pj[dp li[lh ts[yk
多潘立酮滴劑	do[xx pj[dp li[lh ts[yk di[dl ji[wd
多潘立酮分散片	do[xx pj[dp li[lh ts[yk ff[bd sj[gw pm[pu
多潘立酮混懸液	do[xx pj[dp li[lh ts[yk hy[do xr[qx ye[dw
