阿比可糖	aa[ek bi[bb ke[dk th[mg
功的單位	gs[gl de[bb dj[bo ww[rl
共底物	gs[gb di[gu wu[nb
汞毒性口炎	gs[gu du[fm xk[xp kz[uv yj[hh
拱盾狀囊殼	gs[fg dy[pu vl[dq nh[hk ke[ug
共軛雙鍵	gs[gb ee[ii ul[yy jm[jy
共軛作用	gs[gb ee[ii zo[rv ys[ou
共發酵	gs[gb fa[vy jn[yt
共翻譯修飾	gs[gb fj[px yi[yy xq[ru ui[ur
公共衛生口腔醫學	gs[bs gs[gb ww[eh ug[pf kz[uv ql[ox yi[ku xt[xz
肱骨	gs[ou gu[ko
共骨	gs[gb gu[ko
共固定化技術	gs[gb gu[wg dk[gp hx[rq ji[fu uu[ad
共骨骼	gs[gb gu[ko ge[gw
肱骨內上髁	gs[ou gu[ko nw[kr uh[bh ke[go
肱骨外上髁	gs[ou gu[ko wd[xb uh[bh ke[go
肱骨小頭	gs[ou gu[ko xn[ub tz[dd
肱骨小頭骨折	gs[ou gu[ko xn[ub tz[dd gu[ko ve[fj
共合成酶	gs[gb he[rh ig[wv mw[yr
汞合金匙	gs[gu he[rh jb[rw ii[ob
汞合金充填器	gs[gu he[rh jb[rw is[we tm[tu qi[kq
汞合金攪拌機	gs[gu he[rh jb[rw jn[fx bj[fb ji[aj
汞合金輸送器	gs[gu he[rh jb[rw uu[ir ss[bz qi[kq
汞合金懸突磨除器	gs[gu he[rh jb[rw xr[qx tu[xq mo[ge iu[er qi[kq
汞合金壓縮器	gs[gu he[rh jb[rw ya[it so[sg qi[kq
共合酶	gs[gb he[rh mw[yr
共活化物	gs[gb ho[dq hx[rq wu[nb
攻擊衝動	gs[gw ji[fk is[dv ds[el
攻擊擬態	gs[gw ji[fk ni[fs td[dx
共濟器	gs[gb ji[dw qi[kq
共寄生	gs[gb ji[gd ug[pf
共濟失調	gs[gb ji[dw ui[pe tn[yk
攻擊素	gs[gw ji[fk su[fy
攻擊行為	gs[gw ji[fk xk[rh ww[dl
共價	gs[gb jx[rr
共價半徑	gs[gb jx[rr bj[bf jk[rs
共價閉環	gs[gb jx[rr bi[mc hr[wb
共價鍵	gs[gb jx[rr jm[jy
共價距	gs[gb jx[rr ju[zk
弓鮫	gs[kv jn[yl
弓角石殼	gs[kv jn[do ui[ek ke[ug
共聚合作用	gs[gb ju[ep he[rh zo[rv ys[ou
共聚作用	gs[gb ju[ep zo[rv ys[ou
弓肋	gs[kv lw[ol
弓脈	gs[kv md[od
共黴素	gs[gb mw[yr su[fy
共鳴電火花療法	gs[gb mk[kn dm[ov ho[dp hx[cr ln[bl fa[dt
鞏膜	gs[gj mo[oc
鞏膜板	gs[gj mo[oc bj[ap
鞏膜環	gs[gj mo[oc hr[wb
鞏膜上組織	gs[gj mo[oc uh[bh zu[sq vi[sk
共模式標本	gs[gb mo[ac ui[qg bn[ae bf[ah
供能	gs[rg ng[sb
功能重建	gs[gl ng[sb is[ph jm[yj
功能等位性	gs[gl ng[sb dg[vt ww[rl xk[xp
功能鍛練	gs[gl ng[sb dr[jp lm[sq
功能分化	gs[gl ng[sb ff[bd hx[rq
功能恢復	gs[gl ng[sb hv[xu fu[ro
功能基因	gs[gl ng[sb ji[qt yb[wd
功能亢進	gs[gl ng[sb kh[wj jb[ez
功能膜子	gs[gl ng[sb mo[oc zi[lh
功能生化	gs[gl ng[sb ug[pf hx[rq
供能食物	gs[rg ng[sb ui[rl wu[nb
功能位	gs[gl ng[sb ww[rl
功能紊亂綜合徵	gs[gl ng[sb wf[wy lr[qv zs[sg he[rh vg[rh
功能性矯治器	gs[gl ng[sb xk[xp jn[up vi[ds qi[kq
功能性頸清掃術	gs[gl ng[sb xk[xp jk[sy qk[df sc[fx uu[ad
功能性神經外科	gs[gl ng[sb xk[xp uf[uo jk[ss wd[xb ke[hd
功能性異染色質	gs[gl ng[sb xk[xp yi[kc rj[da se[db vi[pu
功能訓練	gs[gl ng[sb xy[yi lm[sq
功能印模	gs[gl ng[sb yb[pe mo[ac
功能障礙	gs[gl ng[sb vh[el ai[eo
功能診斷	gs[gl ng[sb vf[yr dr[mj
共凝集素	gs[gb nk[db ji[va su[fy
共凝集作用	gs[gb nk[db ji[va zo[rv ys[ou
共培養	gs[gb pw[tl yh[yp
汞皮炎	gs[gu pi[vp yj[hh
共棲	gs[gb qi[ax
共棲體	gs[gb qi[ax ti[ra
共肉	gs[gb rz[kr
共生固氮	gs[gb ug[pf gu[wg dj[qh
共生固氮作用	gs[gb ug[pf gu[wg dj[qh zo[rv ys[ou
共生假說	gs[gb ug[pf jx[rk uo[yb
共生起源	gs[gb ug[pf qi[zk yr[di
共生生物	gs[gb ug[pf ug[pf wu[nb
共生體	gs[gb ug[pf ti[ra
共生現象	gs[gb ug[pf xm[wj xl[dk
共生藻	gs[gb ug[pf zc[cd
共適應	gs[gb ui[qz yk[gx
弓絲成型器	gs[kv si[sh ig[wv xk[kt qi[kq
供體	gs[rg ti[ra
供體部位	gs[rg ti[ra bu[le ww[rl
共同抗原	gs[gb ts[kh kh[fw yr[ib
共通胚膜	gs[gb ts[sz pw[ob mo[oc
共同行動者	gs[gb ts[kh xk[rh ds[el ve[to
共尾蟲	gs[gb ww[um is[ks
共尾幼蟲	gs[gb ww[um yz[yl is[ks
共顯性	gs[gb xm[oy xk[xp
共顯性表達	gs[gb xm[oy xk[xp bn[fy da[dz
弓形帶	gs[kv xk[kp dd[cj
弓形切口	gs[kv xk[kp qp[qd kz[uv
弓形體病	gs[kv xk[kp ti[ra bk[bh
弓形腿	gs[kv xk[kp tv[og
弓形腿支具	gs[kv xk[kp tv[og vi[uy ju[jb
弓形紋	gs[kv xk[kp wf[sw
弓形組織	gs[kv xk[kp zu[sq vi[sk
工雄蟻	gs[hu xs[uv yi[id
汞溴紅	gs[gu xq[dz hs[sg
供血動脈夾閉術	gs[rg xt[pm ds[el md[od jx[hb bi[mc uu[ad
供血皮瓣	gs[rg xt[pm pi[vp bj[lp
供血者	gs[rg xt[pm ve[to
工業發酵	gs[hu ye[ub fa[vy jn[yt
工業防腐劑	gs[hu ye[ub fh[ef fu[gk ji[wd
工業黑化現象	gs[hu ye[ub hw[sd hx[rq xm[wj xl[dk
工業酶	gs[hu ye[ub mw[yr
工業微生物	gs[hu ye[ub ww[ru ug[pf wu[nb
工業微生物學	gs[hu ye[ub ww[ru ug[pf wu[nb xt[xz
工業性皮炎	gs[hu ye[ub xk[xp pi[vp yj[hh
工業用酵母	gs[hu ye[ub ys[ou jn[yt mu[vv
工藝療法	gs[hu yi[cv ln[bl fa[dt
共有決定簇	gs[gb yz[uo jt[dv dk[gp cu[vf
共有特異性	gs[gb yz[uo te[nt yi[kc xk[xp
共有序列	gs[gb yz[uo xu[gy lp[hd
共運輸	gs[gb yy[ez uu[ir
供者	gs[rg ve[to
供者特異性輸血	gs[rg ve[to te[nt yi[kc xk[xp uu[ir xt[pm
供者預處理	gs[rg ve[to yu[yy iu[wb li[wo
共振能量轉移	gs[gb vf[fi ng[sb ll[oh vr[ie yi[hx
共振雜化分子	gs[gb vf[fi za[ja hx[rq ff[bd zi[lh
共整合	gs[gb vg[hh he[rh
共整合載體系統	gs[gb vg[hh he[rh zd[ti ti[ra xi[py ts[sw
共質	gs[gb vi[pu
共脂肪酶	gs[gb vi[ob fh[of mw[yr
共質體	gs[gb vi[pu ti[ra
共質軸	gs[gb vi[pu vz[iy
共轉導	gs[gb vr[ie dc[kc
共轉化	gs[gb vr[ie hx[rq
共轉染	gs[gb vr[ie rj[da
共祖係數	gs[gb zu[uq xi[py uu[mw
共祖序列	gs[gb zu[uq xu[gy lp[hd
工作療法	gs[hu zo[rv ln[bl fa[dt
工作濃度	gs[hu zo[rv ns[dg du[gn
溝槽模槽空腔	gz[db cc[ah mo[ac cc[ah ks[xg ql[ox
鉤蟲皮炎	gz[jb is[ks pi[vp yj[hh
溝道氣	gz[db dc[bz qi[rh
鉤端螺旋體病	gz[jb dr[lu lo[it xr[fr ti[ra bk[bh
鉤骨	gz[jb gu[ko
構件分子	gz[ab jm[rn ff[bd zi[lh
構件結構單元	gz[ab jm[rn jp[su gz[ab dj[bo yr[ee
溝間區	gz[db jm[mo qu[ki
鉤角	gz[jb jn[do
鉤口線蟲病	gz[jb kz[uv xm[sj is[ks bk[bh
佝僂病體質	gz[rb lz[rm bk[bh ti[ra vi[pu
鉤脈	gz[jb md[od
鉤毛	gz[jb mc[sv
溝膜	gz[db mo[oc
溝內牙醫學	gz[db nw[kr ya[hv yi[ku xt[xz
溝前	gz[db qm[bo
溝前區	gz[db qm[bo qu[ki
鉤球幼蟲	gz[jb qq[wh yz[yl is[ks
溝渠群落	gz[db qu[da qy[xy lo[cd
鉤套	gz[jb tc[di
鉤藤鹼	gz[jb tg[co jm[ew
溝細胞	gz[db xi[st bc[ob
溝下道	gz[db xx[hb dc[bz
構象	gz[ab xl[dk
構象分析	gz[ab xl[dk ff[bd xi[aj
構象體	gz[ab xl[dk ti[ra
構象同分異構體	gz[ab xl[dk ts[kh ff[bd yi[kc gz[ab ti[ra
構象同分異構現象	gz[ab xl[dk ts[kh ff[bd yi[kc gz[ab xm[wj xl[dk
構效關係	gz[ab xn[lw gr[bt xi[py
構型	gz[ab xk[kt
鉤形切口	gz[jb xk[kp qp[qd kz[uv
鉤形突	gz[jb xk[kp tu[xq
垢著病	gz[tp ve[ym bk[bh
構築基因	gz[ab vu[vg ji[qt yb[wd
鉤狀結合	gz[jb vl[dq jp[su he[rh
鉤狀毛	gz[jb vl[dq mc[sv
溝狀傷	gz[db vl[dq uh[rr
鉤狀細胞	gz[jb vl[dq xi[st bc[ob
鈷胺輔酶	gu[jg an[og fu[if mw[yr
鈷胺素	gu[jg an[og su[fy
鈷胺素輔酶	gu[jg an[og su[fy fu[if mw[yr
穀氨酸	gu[bk an[qg sr[ys
鈷胺酸	gu[jg an[og sr[ys
穀氨酸半醛	gu[bk an[qg sr[ys bj[bf qr[yc
穀氨酸丙酮酸轉氨酶	gu[bk an[qg sr[ys bk[hk ts[yk sr[ys vr[ie an[qg mw[yr
穀氨酸草酰乙酸轉氨酶	gu[bk an[qg sr[ys cc[co xm[yn yi[vv sr[ys vr[ie an[qg mw[yr
穀氨酸脫氫酶	gu[bk an[qg sr[ys to[ob qk[qs mw[yr
穀氨酸脫羧酶	gu[bk an[qg sr[ys to[ob so[ys mw[yr
穀氨酸微球菌	gu[bk an[qg sr[ys ww[ru qq[wh jy[cw
穀氨酸鹽	gu[bk an[qg sr[ys yj[tm
穀氨酸氧化酶	gu[bk an[qg sr[ys yh[qy hx[rq mw[yr
谷氨酰	gu[bk an[qg xm[yn
谷氨醯胺	gu[bk an[qg xm[yn an[og
鈷胺酰胺	gu[jg an[og xm[yn an[og
鈷胺酰胺輔酶	gu[jg an[og xm[yn an[og fu[if mw[yr
谷氨醯胺合成酶	gu[bk an[qg xm[yn an[og he[rh ig[wv mw[yr
谷氨酰氨基丙腈	gu[bk an[qg xm[yn an[qg ji[qt bk[hk jk[of
谷氨醯胺酶	gu[bk an[qg xm[yn an[og mw[yr
谷氨醯胺酰	gu[bk an[qg xm[yn an[og xm[yn
谷氨醯胺酰基	gu[bk an[qg xm[yn an[og xm[yn ji[qt
谷氨酰半胱氨酸合成酶	gu[bk an[qg xm[yn bj[bf gl[ox an[qg sr[ys he[rh ig[wv mw[yr
谷氨酰環化轉移酶	gu[bk an[qg xm[yn hr[wb hx[rq vr[ie yi[hx mw[yr
谷氨酰基	gu[bk an[qg xm[yn ji[qt
谷氨酰循環	gu[bk an[qg xm[yn xy[rp hr[wb
谷氨酰轉肽酶	gu[bk an[qg xm[yn vr[ie td[od mw[yr
古巴樹脂	gu[uk ba[ku uu[ay vi[ob
股白腫	gu[oj bd[po vs[ov
骨板	gu[ko bj[ap
古孢粉學	gu[uk bc[zb ff[mf xt[xz
古北區	gu[uk bw[ub qu[ki
骨薄肌	gu[ko bo[cd ji[oj
股薄肌移植術	gu[oj bo[cd ji[oj yi[hx vi[au uu[ad
骨測量法	gu[ko ce[db ll[oh fa[dt
骨層	gu[ko cg[ue
骨成形瓣	gu[ko ig[wv xk[kp bj[lp
骨成形術	gu[ko ig[wv xk[kp uu[ad
骨重塑	gu[ko is[ph su[nt
孤臭	gu[zp iz[zq
骨傳導	gu[ko ir[re dc[kc
鼓槌體	gu[uu iv[ap ti[ra
鼓槌狀小片	gu[uu iv[ap vl[dq xn[ub pm[pu
固醇	gu[wg iy[yw
谷醇溶蛋白	gu[bk iy[yw rs[dx dj[pi bd[po
固醇載體蛋白	gu[wg iy[yw zd[ti ti[ra dj[pi bd[po
孤雌	gu[zp ci[vv
孤雌發育	gu[zp ci[vv fa[vy yu[wo
孤雌核配	gu[zp ci[vv he[aw pw[yk
孤雌兩核融合	gu[zp ci[vv ll[hk he[aw rs[hi he[rh
孤雌生殖	gu[zp ci[vv ug[pf vi[hu
孤雌生殖生物	gu[zp ci[vv ug[pf vi[hu ug[pf wu[nb
孤雌生殖細胞	gu[zp ci[vv ug[pf vi[hu xi[st bc[ob
孤雌受精生殖	gu[zp ci[vv uz[ay jk[mf ug[pf vi[hu
谷催產素	gu[bk cv[ru ij[lp su[fy
骨脆症	gu[ko cv[od vg[bh
古代種子	gu[uk dd[rq vs[hv zi[lh
固氮	gu[wg dj[qh
谷蛋白	gu[bk dj[pi bd[po
固氮根瘤	gu[wg dj[qh gf[ag lq[bp
固氮黃素	gu[wg dj[qh hl[gy su[fy
固氮基因	gu[wg dj[qh ji[qt yb[wd
固氮菌	gu[wg dj[qh jy[cw
固氮酪蛋白	gu[wg dj[qh lc[yw dj[pi bd[po
固氮酶	gu[wg dj[qh mw[yr
固氮生物	gu[wg dj[qh ug[pf wu[nb
古淡水生物學	gu[uk dj[dh uv[uu ug[pf wu[nb xt[xz
固氮酸	gu[wg dj[qh sr[ys
固氮鐵	gu[wg dj[qh tp[jp
固氮鐵蛋白	gu[wg dj[qh tp[jp dj[pi bd[po
固氮鐵鉬	gu[wg dj[qh tp[jp mu[jm
固氮鐵鉬氧還蛋白	gu[wg dj[qh tp[jp mu[jm yh[qy hr[bz dj[pi bd[po
固氮鐵氧還蛋白	gu[wg dj[qh tp[jp yh[qy hr[bz dj[pi bd[po
骨單位	gu[ko dj[bo ww[rl
固氮細菌	gu[wg dj[qh xi[st jy[cw
固氮作用	gu[wg dj[qh zo[rv ys[ou
谷盜	gu[bk dc[dm
古德帕斯丘綜合徵	gu[uk de[ru pa[jb si[qj qq[jh zs[sg he[rh vg[rh
古地貌學	gu[uk di[ty mc[pb xt[xz
古地質學	gu[uk di[ty vi[pu xt[xz
古典式電診斷法	gu[uk dm[kb ui[qg dm[ov vf[yr dr[mj fa[dt
孤電子對	gu[zp dm[ov zi[lh dv[yc
固定凹	gu[wg dk[gp ao[uv
固定薄膜	gu[wg dk[gp bo[cd mo[oc
固定反應	gu[wg dk[gp fj[py yk[gx
固定化技術	gu[wg dk[gp hx[rq ji[fu uu[ad
固定化酶	gu[wg dk[gp hx[rq mw[yr
固定化酶反應器	gu[wg dk[gp hx[rq mw[yr fj[py yk[gx qi[kq
固定化配體	gu[wg dk[gp hx[rq pw[yk ti[ra
固定化細胞	gu[wg dk[gp hx[rq xi[st bc[ob
固定頰	gu[wg dk[gp jx[jy
固定鹼	gu[wg dk[gp jm[ew
固定矯治器	gu[wg dk[gp jn[up vi[ds qi[kq
固定角轉頭	gu[wg dk[gp jn[do vr[ie tz[dd
固定連接體	gu[wg dk[gp lm[iz jp[fl ti[ra
固定胼胝體	gu[wg dk[gp pm[ob vi[ou ti[ra
固定術	gu[wg dk[gp uu[ad
固定態	gu[wg dk[gp td[dx
固定細胞	gu[wg dk[gp xi[st bc[ob
固定相	gu[wg dk[gp xl[am
固定性藥疹	gu[wg dk[gp xk[xp yc[cs vf[br
固定修復術	gu[wg dk[gp xq[ru fu[ro uu[ad
固定義齒修復學	gu[wg dk[gp yi[di ii[vr xq[ru fu[ro xt[xz
古動物學	gu[uk ds[el wu[nb xt[xz
古豆鹼	gu[uk dz[hk jm[ew
孤獨基因	gu[zp du[qi ji[qt yb[wd
股盾	gu[oj dy[pu
固顎型	gu[wg ee[ok xk[kt
孤兒病毒	gu[zp er[pv bk[bh du[fm
骨發生	gu[ko fa[vy ug[pf
骨發育過度	gu[ko fa[vy yu[wo go[cz du[gn
骨分離	gu[ko ff[bd li[wk
股腹鬃列	gu[oj fu[or zs[ig lp[hd
骨鈣缺乏	gu[ko gd[jx qt[pv fa[pv
谷稈糖	gu[bk gj[hg th[mg
骨隔板	gu[ko ge[eh bj[ap
骨骼剝製	gu[ko ge[gw bo[xd vi[nd
骨骼蛋白	gu[ko ge[gw dj[pi bd[po
骨骼發生	gu[ko ge[gw fa[vy ug[pf
骨骼肌	gu[ko ge[gw ji[oj
骨骼膠	gu[ko ge[gw jn[ol
骨骼顯露	gu[ko ge[gw xm[oy lu[yz
骨骼形成	gu[ko ge[gw xk[kp ig[wv
骨骼學	gu[ko ge[gw xt[xz
股骨	gu[oj gu[ko
股骨頭骨骺骨軟骨病	gu[oj gu[ko tz[dd gu[ko hz[gp gu[ko rr[id gu[ko bk[bh
骨關節病	gu[ko gr[bt jp[ce bk[bh
骨關節炎	gu[ko gr[bt jp[ce yj[hh
谷胱甘肽	gu[bk gl[ox gj[nh td[od
谷胱甘肽合成酶	gu[bk gl[ox gj[nh td[od he[rh ig[wv mw[yr
谷胱甘肽還原酶	gu[bk gl[ox gj[nh td[od hr[bz yr[ib mw[yr
谷胱甘肽硫	gu[bk gl[ox gj[nh td[od lq[ew
谷胱甘肽血	gu[bk gl[ox gj[nh td[od xt[pm
古海龜	gu[uk hd[dr gv[do
骨骺過早融合	gu[ko hz[gp go[cz zc[ou rs[hi he[rh
骨骺滑脫	gu[ko hz[gp hx[dg to[ob
古湖沼學	gu[uk hu[dg vc[dd xt[xz
骨化	gu[ko hx[rq
骨化病	gu[ko hx[rq bk[bh
骨化的清類粘蛋白	gu[ko hx[rq de[bb qk[df lw[md vj[mb dj[pi bd[po
骨化性肌炎	gu[ko hx[rq xk[xp ji[oj yj[hh
骨化性纖維瘤	gu[ko hx[rq xk[xp xm[sq ww[sv lq[bp
骨化甾醇	gu[ko hx[rq zd[vt iy[yw
骨化中心	gu[ko hx[rq vs[ku xb[dv
骨化作用	gu[ko hx[rq zo[rv ys[ou
固化作用	gu[wg hx[rq zo[rv ys[ou
股肌	gu[oj ji[oj
骨基質明膠	gu[ko ji[qt vi[pu mk[oo jn[ol
骨痂	gu[ko jx[bl
股間肌	gu[oj jm[mo ji[oj
骨間肌	gu[ko jm[mo ji[oj
骨腱形成	gu[ko jm[oy xk[kp ig[wv
骨間總靜脈	gu[ko jm[mo zs[bx jk[fd md[od
固漿	gu[wg jl[du
谷膠酪蛋白	gu[bk jn[ol lc[yw dj[pi bd[po
股節	gu[oj jp[ce
骨結合	gu[ko jp[su he[rh
骨接合術	gu[ko jp[fl he[rh uu[ad
古蕨	gu[uk jt[ci
古蕨屬	gu[uk jt[ci uu[up
古柯鹼	gu[uk ke[ak jm[ew
古柯間二酸	gu[uk ke[ak jm[mo er[hh sr[ys
古柯鄰二酸	gu[uk ke[ak lb[re er[hh sr[ys
骨科學	gu[ko ke[hd xt[xz
古昆蟲學	gu[uk ky[ob is[ks xt[xz
股藍腫	gu[oj lj[cu vs[ov
骨類粘蛋白	gu[ko lw[md vj[mb dj[pi bd[po
孤立腎	gu[zp li[lh uf[uo
孤立性毛髮上皮瘤	gu[zp li[lh xk[xp mc[sv fa[vy uh[bh pi[vp lq[bp
孤立性腎囊腫	gu[zp li[lh xk[xp uf[uo nh[hk vs[ov
孤立性血管角化瘤	gu[zp li[lh xk[xp xt[pm gr[vg jn[do hx[rq lq[bp
骨連結	gu[ko lm[iz jp[su
咕啉	gu[kg lb[ka
鈷啉胺酸	gu[jg lb[ka an[og sr[ys
鈷啉醇酸	gu[jg lb[ka iy[yw sr[ys
鈷啉醇酰胺	gu[jg lb[ka iy[yw xm[yn an[og
骨磷灰石	gu[ko lb[em hv[uh ui[ek
鈷啉酸	gu[jg lb[ka sr[ys
骨瘻	gu[ko lz[bm
骨顱	gu[ko lu[by
古顱	gu[uk lu[by
古蘆木屬	gu[uk lu[ch mu[ub uu[up
古洛糖	gu[uk lo[dw th[mg
古洛糖醛酸	gu[uk lo[dw th[mg qr[yc sr[ys
古洛糖酸	gu[uk lo[dw th[mg sr[ys
古洛糖酸內酯	gu[uk lo[dw th[mg sr[ys nw[kr vi[yb
固綠	gu[wg lv[sx
骨梅毒	gu[ko mw[ar du[fm
骨膜反映	gu[ko mo[oc fj[py yk[ok
鼓膜架	gu[uu mo[oc jx[la
鼓膜囊	gu[uu mo[oc nh[hk
鼓膜氣門	gu[uu mo[oc qi[rh mf[du
骨膜上浸潤麻醉	gu[ko mo[oc uh[bh jb[dx ry[dm ma[ga zv[yw
鼓膜上器	gu[uu mo[oc uh[bh qi[kq
鼓膜鬆弛部	gu[uu mo[oc ss[ab ii[gy bu[le
骨膜下浸潤麻醉	gu[ko mo[oc xx[hb jb[dx ry[dm ma[ga zv[yw
骨膜下植入橋基	gu[ko mo[oc xx[hb vi[au ru[pd qn[ap ji[qt
骨膜下種植體	gu[ko mo[oc xx[hb vs[hv vi[au ti[ra
骨膜移植物	gu[ko mo[oc yi[hx vi[au wu[nb
骨幕	gu[ko mu[cj
骨內	gu[ko nw[kr
骨內袋	gu[ko nw[kr dd[ry
骨內固定器種植體	gu[ko nw[kr gu[wg dk[gp qi[kq vs[hv vi[au ti[ra
骨內膜	gu[ko nw[kr mo[oc
骨內膜炎	gu[ko nw[kr mo[oc yj[hh
骨內葉狀閉口種植體	gu[ko nw[kr ye[ku vl[dq bi[mc kz[uv vs[hv vi[au ti[ra
骨內葉狀開口種植體	gu[ko nw[kr ye[ku vl[dq kd[hc kz[uv vs[hv vi[au ti[ra
骨內種植術	gu[ko nw[kr vs[hv vi[au uu[ad
骨內種植體	gu[ko nw[kr vs[hv vi[au ti[ra
古鳥類學	gu[uk nn[nh lw[md xt[xz
古鳥亞綱	gu[uk nn[nh ya[hy gh[sk
固顳頭骨	gu[wg np[ey tz[dd gu[ko
古爬行動物學	gu[uk pa[pb xk[rh ds[el wu[nb xt[xz
骨旁骨肉瘤	gu[ko ph[lf gu[ko rz[kr lq[bp
鼓泡結構	gu[uu pc[db jp[su gz[ab
鼓泡氧合柱	gu[uu pc[db yh[qy he[rh vu[ad
骨盆帶	gu[ko pf[fm dd[cj
骨盆靜脈	gu[ko pf[fm jk[fd md[od
骨盆內移截骨術	gu[ko pf[fm nw[kr yi[hx jp[tv gu[ko uu[ad
骨盆直腸窩膿腫	gu[ko pf[fm vi[uj ih[ov wo[xk ns[og vs[ov
骨盆縱裂	gu[ko pf[fm zs[sr lp[hy
鈷皮炎	gu[jg pi[vp yj[hh
骨片形成	gu[ko pm[pu xk[kp ig[wv
骨嵌入移植術	gu[ko qm[ug ru[pd yi[hx vi[au uu[ad
骨切除術	gu[ko qp[qd iu[er uu[ad
骨切開術	gu[ko qp[qd kd[hc uu[ad
古區域分佈區	gu[uk qu[ki yu[tg ff[bd bu[uj qu[ki
古群落分佈學	gu[uk qy[xy lo[cd ff[bd bu[uj xt[xz
古群落生態學	gu[uk qy[xy lo[cd ug[pf td[dx xt[xz
古人類學	gu[uk rf[pd lw[md xt[xz
骨肉瘤	gu[ko rz[kr lq[bp
骨肉瘤源生長因子	gu[ko rz[kr lq[bp yr[di ug[pf vh[ph yb[wd zi[lh
骨軟骨病	gu[ko rr[id gu[ko bk[bh
骨軟骨骨折	gu[ko rr[id gu[ko gu[ko ve[fj
骨軟骨瘤病	gu[ko rr[id gu[ko lq[bp bk[bh
骨軟骨炎	gu[ko rr[id gu[ko yj[hh
骨軟骨營養不良	gu[ko rr[id gu[ko yk[ck yh[yp bu[eu ll[dg
骨軟化	gu[ko rr[id hx[rq
骨軟化症	gu[ko rr[id hx[rq vg[bh
骨掃描	gu[ko sc[fx mn[fc
固沙群落	gu[wg ua[dx qy[xy lo[cd
股疝	gu[oj uj[bu
骨閃爍測量	gu[ko uj[mr uo[hp ce[db ll[oh
骨燒傷	gu[ko uc[hq uh[rr
孤生病毒	gu[zp ug[pf bk[bh du[fm
骨生成	gu[ko ug[pf ig[wv
古生代植物	gu[uk ug[pf dd[rq vi[au wu[nb
古生菌類	gu[uk ug[pf jy[cw lw[md
古生態學	gu[uk ug[pf td[dx xt[xz
古生物病理學	gu[uk ug[pf wu[nb bk[bh li[wo xt[xz
古生物化學	gu[uk ug[pf wu[nb hx[rq xt[xz
古生物心理學	gu[uk ug[pf wu[nb xb[dv li[wo xt[xz
古生物學	gu[uk ug[pf wu[nb xt[xz
骨生長因子	gu[ko ug[pf vh[ph yb[wd zi[lh
鼓室	gu[uu ui[gh
谷氏菌素	gu[bk ui[pq jy[cw su[fy
鼓式取皮機	gu[uu ui[qg qu[ey pi[vp ji[aj
鼓室上隱窩	gu[uu ui[gh uh[bh yb[ed wo[xk
骨嗜酸細胞肉芽腫	gu[ko ui[kt sr[ys xi[st bc[ob rz[kr ya[cy vs[ov
古似鳥龍屬	gu[uk si[rs nn[nh ls[yp uu[up
股四頭肌	gu[oj si[we tz[dd ji[oj
骨松質	gu[ko ss[ab vi[pu
骨髓白細胞	gu[ko sv[gu bd[po xi[st bc[ob
骨髓產生的淋巴細胞	gu[ko sv[gu ij[lp ug[pf de[bb lb[da ba[ku xi[st bc[ob
骨髓產生的細胞	gu[ko sv[gu ij[lp ug[pf de[bb xi[st bc[ob
骨髓產生細胞	gu[ko sv[gu ij[lp ug[pf xi[st bc[ob
骨髓多核鉅細胞	gu[ko sv[gu do[xx he[aw ju[kk xi[st bc[ob
骨髓發生	gu[ko sv[gu fa[vy ug[pf
骨髓管	gu[ko sv[gu gr[vg
骨髓瘤	gu[ko sv[gu lq[bp
骨髓瘤球蛋白	gu[ko sv[gu lq[bp qq[wh dj[pi bd[po
骨髓瘤細胞	gu[ko sv[gu lq[bp xi[st bc[ob
骨髓腔腫瘤	gu[ko sv[gu ql[ox vs[ov lq[bp
骨髓生成	gu[ko sv[gu ug[pf ig[wv
骨髓細胞生成	gu[ko sv[gu xi[st bc[ob ug[pf ig[wv
骨髓炎	gu[ko sv[gu yj[hh
骨髓衍生細胞	gu[ko sv[gu yj[rd ug[pf xi[st bc[ob
骨髓組織	gu[ko sv[gu zu[sq vi[sk
固縮	gu[wg so[sg
固縮核	gu[wg so[sg he[aw
固縮紅細胞	gu[wg so[sg hs[sg xi[st bc[ob
固態發酵	gu[wg td[dx fa[vy jn[yt
固態培養基發酵	gu[wg td[dx pw[tl yh[yp ji[qt fa[vy jn[yt
固體二氧化碳	gu[wg ti[ra er[hh yh[qy hx[rq tj[eu
固體發酵	gu[wg ti[ra fa[vy jn[yt
固體培養基	gu[wg ti[ra pw[tl yh[yp ji[qt
骨貼附移植術	gu[ko tp[bb fu[er yi[hx vi[au uu[ad
孤挺花定	gu[zp tk[fq hx[cr dk[gp
固酮	gu[wg ts[yk
蓇葖	gu[[ tu[[
骨突	gu[ko tu[xq
蓇葖果	gu[[ tu[[ go[oa
骨外成釉細胞瘤	gu[ko wd[xb ig[wv yz[py xi[st bc[ob lq[bp
骨外膜	gu[ko wd[xb mo[oc
骨外造釉細胞瘤	gu[ko wd[xb zc[nz yz[py xi[st bc[ob lq[bp
固位	gu[wg ww[rl
骨萎縮	gu[ko ww[ch so[sg
固位體	gu[wg ww[rl ti[ra
固位形	gu[wg ww[rl xk[kp
固位指	gu[wg ww[rl vi[fb
穀物渣	gu[bk wu[nb va[da
骨細胞	gu[ko xi[st bc[ob
古細菌	gu[uk xi[st jy[cw
骨下袋	gu[ko xx[hb dd[ry
