安期生	an[gn qi[qo ug[pf
清水祖師	qk[df uv[uu zu[uq ui[uh
清微丹訣	qk[df ww[ru dj[kw jt[yv
清微派	qk[df ww[ru pd[dp
清微天	qk[df ww[ru tm[hd
清微天玉清境	qk[df ww[ru tm[hd yu[wd qk[df jk[tl
青烏公	qk[fo wu[bv gs[bs
青烏子	qk[fo wu[bv zi[lh
青羊宮	qk[fo yh[bs gs[gk
青羊宮銅羊	qk[fo yh[bs gs[gk ts[jk yh[bs
青衣神	qk[fo yi[wy uf[uo
邱處機	qq[qe iu[wb ji[aj
丘處機	qq[jh iu[wb ji[aj
秋石	qq[hh ui[ek
全真道	qr[rw vf[uj dc[bz
全真道北七真派	qr[rw vf[uj dc[bz bw[ub qi[hv vf[uj pd[dp
泉州老君造像	qr[bu vz[dp lc[tb jy[xk zc[nz xl[rd
卻穀食氣篇	qt[te gu[bk ui[rl qi[rh pm[vh
壬辰	rf[qh if[ie
任督	rf[rq du[um
人法地	rf[pd fa[dt di[ty
人倫大統賦	rf[pd ly[rr da[hr ts[sw fu[bw
壬申	rf[qh uf[ou
任文公	rf[rq wf[wi gs[bs
壬午	rf[qh wu[ru
人仙	rf[pd xm[ru
壬戌	rf[qh xu[wh
壬寅	rf[qh yb[gh
壬子	rf[qh zi[lh
日魂月魄	ri[wh hy[eg yt[ke po[bg
日書	ri[wh uu[vv
容成公	rs[xr ig[wv gs[bs
容成陰道	rs[xr ig[wv yb[eo dc[bz
入靜	ru[pd jk[fd
入魔	ru[pd mo[gg
入藥鏡	ru[pd yc[cs jk[jl
薩真人	sa[ce vf[uj rf[pd
三寶	sj[hh bc[gw
三才	sj[hh cd[hu
三車	sj[hh ie[qu
三洞	sj[hh ds[dk
三洞法服科戒文	sj[hh ds[dk fa[dt fu[oe ke[hd jp[gc wf[wi
三洞瓊綱	sj[hh ds[dk qs[ww gh[sk
三洞群仙錄	sj[hh ds[dk qy[xy xm[ru lu[xu
三洞神符記	sj[hh ds[dk uf[uo fu[vr ji[yk
三洞珠囊	sj[hh ds[dk vu[wp nh[hk
三都	sj[hh du[te
三關	sj[hh gr[bt
三官大帝	sj[hh gr[gu da[hr di[lj
三花聚頂	sj[hh hx[cr ju[ep dk[dy
三華聚頂	sj[hh hx[ru ju[ep dk[dy
三皇經	sj[hh hl[bw jk[ss
三皇文	sj[hh hl[bw wf[wi
三魂	sj[hh hy[eg
三家相見	sj[hh jx[gu xl[am jm[ke
三教搜神大全	sj[hh jn[tw sz[fj uf[uo da[hr qr[rw
三界	sj[hh jp[tr
三茅真君	sj[hh mc[cy vf[uj jy[xk
三命指迷賦	sj[hh mk[rh vi[fb mi[mz fu[bw
三品戒	sj[hh pb[kk jp[gc
三清	sj[hh qk[df
三清境	sj[hh qk[df jk[tl
三神山	sj[hh uf[uo uj[uk
三尸	sj[hh ui[kp
三十二天	sj[hh ui[hu er[hh tm[hd
三十六洞天	sj[hh ui[hu lq[wb ds[dk tm[hd
三十六天	sj[hh ui[hu lq[wb tm[hd
三十六天將	sj[hh ui[hu lq[wb tm[hd jl[dx
三尸神	sj[hh ui[kp uf[uo
三素雲	sj[hh su[fy yy[es
三天易髓	sj[hh tm[hd yi[ob sv[gu
散仙	sj[gw xm[ru
三元八會	sj[hh yr[ee ba[pd hv[re
三元延壽參贊書	sj[hh yr[ee yj[pj uz[fc cj[sd zj[nb uu[vv
三元齋	sj[hh yr[ee vd[we
三曰大赤天太清境	sj[hh yt[wh da[hr ii[ty tm[hd td[dd qk[df jk[tl
桑道茂	sh[ya dc[bz mc[cw
莎衣道人	ua[cd yi[wy dc[bz rf[pd
山地剝	uj[uk di[ty bo[xd
閃電娘娘	uj[mr dm[ov nl[nl nl[nl
山法全書	uj[uk fa[dt qr[rw uu[vv
山風蠱	uj[uk fg[ji gu[im
山火賁	uj[uk ho[dp bf[ub
山雷頤	uj[uk lw[yt yi[ky
山水蒙	uj[uk uv[uu mg[ch
山天大畜	uj[uk tm[hd da[hr iu[wt
山澤損	uj[uk ze[dy sy[fk
上清大洞真經	uh[bh qk[df da[hr ds[dk vf[uj jk[ss
上清靈寶大法	uh[bh qk[df lk[xh bc[gw da[hr fa[dt
上清派	uh[bh qk[df pd[dp
上清握中訣	uh[bh qk[df wo[fu vs[ku jt[yv
上天梯	uh[bh tm[hd ti[ab
上下經卦變歌	uh[bh xx[hb jk[ss gx[tb bm[yy ge[kd
尚獻甫	uh[xk xm[uq fu[uo
少翁	uc[xp wg[bx
邵元節	uc[de yr[ee jp[ce
設供齋	ue[yj gs[rg vd[we
攝生三要	ue[fe ug[pf sj[hh yc[xn
攝生要義	ue[fe ug[pf yc[xn yi[di
攝生纂錄	ue[fe ug[pf zr[vm lu[xu
攝養枕中方	ue[fe yh[yp vf[ag vs[ku fh[dw
神機相字法	uf[uo ji[aj xl[am zi[gz fa[dt
神闕	uf[uo qt[mn
神水華池	uf[uo uv[uu hx[ru ii[dy
沈羲	uf[dg xi[bh
神仙傳	uf[uo xm[ru ir[re
神仙丹訣	uf[uo xm[ru dj[kw jt[yv
神仙可學論	uf[uo xm[ru ke[dk xt[xz ly[yr
神相金較剪	uf[uo xl[am jb[rw jn[il jm[bd
神相鐵關刀	uf[uo xl[am tp[jp gr[bt dc[vp
神霄派	uf[uo xn[yx pd[dp
瀋陽太清宮	uf[dg yh[eo td[dd qk[df gs[gk
神遊	uf[uo yz[df
生道合一	ug[pf dc[bz he[rh yi[hh
聖胎	ug[yt td[os
十八頭	ui[hu ba[pd tz[dd
十大洞天	ui[hu da[hr ds[dk tm[hd
十二重樓	ui[hu er[hh is[ph lz[am
十二類	ui[hu er[hh lw[md
十方叢林	ui[hu fh[dw cs[rh lb[aa
釋泓	ui[py hs[dg
十戒	ui[hu jp[gc
始氣所成	ui[ns qi[rh so[pj ig[wv
十七願念	ui[hu qi[hv yr[ix nm[rx
石泉	ui[ek qr[bu
十三虛無	ui[hu sj[hh xu[hy wu[ee
識神	ui[yk uf[uo
石泰	ui[ek td[su
史序	ui[ki xu[gy
石藥爾雅	ui[ek yc[cs er[dx ya[yv
十洲三島	ui[hu vz[dd sj[hh dc[nu
守庚申	uz[gc gg[gx uf[ou
守三一	uz[gc sj[hh yi[hh
叔服	uu[uy fu[oe
黍米	uu[hr mi[ba
水地比	uv[uu di[ty bi[bb
水風井	uv[uu fg[ji jk[ep
水雷屯	uv[uu lw[yt ty[hk
水山蹇	uv[uu uj[uk jm[gz
水天需	uv[uu tm[hd xu[ye
水澤節	uv[uu ze[dy jp[ce
順逆	uy[iy ni[nz
四輔	si[we fu[if
司馬承禎	si[vh ma[vv ig[lu vf[ub
司馬季主	si[vh ma[vv ji[hz vu[dw
思微定志	si[tx ww[ru dk[gp vi[ux
四御	si[we yu[rw
四值功曹	si[we vi[ru gs[gl cc[ho
宋德方	ss[ga de[ru fh[dw
宋倫	ss[ga ly[rr
宋毋忌	ss[ga wu[vv ji[kx
蘇澄隱	su[cl ig[dd yb[ed
素女經	su[fy nv[vp jk[ss
蘇元朗	su[cl yr[ee lh[lo
隨山派	sv[eu uj[uk pd[dp
孫不二	sy[zx bu[eu er[hh
孫恩	sy[zx en[wx
孫汝忠	sy[zx ru[dn vs[vx
孫守榮	sy[zx uz[gc rs[ca
孫思邈	sy[zx si[tx mn[pz
孫玄清	sy[zx xr[wy qk[df
孫智諒	sy[zx vi[uo ll[yw
索紞	so[uy dj[[
太白金星	td[dd bd[po jb[rw xk[op
臺產	td[sk ij[lp
太和山	td[dd he[hk uj[uk
太極	td[dd ji[aj
太平道	td[dd pk[hb dc[bz
太平洞經	td[dd pk[hb ds[dk jk[ss
太清導引養生經	td[dd qk[df dc[kc yb[gu yh[yp ug[pf jk[ss
太清宮	td[dd qk[df gs[gk
太清神鑑	td[dd qk[df uf[uo jm[uj
太清石壁記	td[dd qk[df ui[ek bi[ut ji[yk
太清調氣經	td[dd qk[df tn[yk qi[rh jk[ss
太清中黃真經	td[dd qk[df vs[ku hl[gy vf[uj jk[ss
太上洞淵神咒經	td[dd uh[bh ds[dk yr[dp uf[uo vz[kj jk[ss
太上感應篇	td[dd uh[bh gj[wx yk[gx pm[vh
太上九要心印妙經	td[dd uh[bh jq[pv yc[xn xb[dv yb[pe mn[nx jk[ss
太上老君	td[dd uh[bh lc[tb jy[xk
太上三洞神咒	td[dd uh[bh sj[hh ds[dk uf[uo vz[kj
太上養生胎息氣經	td[dd uh[bh yh[yp ug[pf td[os xi[zx qi[rh jk[ss
太素脈法	td[dd su[fy md[od fa[dt
太霄琅書經	td[dd xn[yx lh[wl uu[vv jk[ss
太一	td[dd yi[hh
太乙	td[dd yi[vv
太一道	td[dd yi[hh dc[bz
太乙含真	td[dd yi[vv hj[rk vf[uj
太乙金鏡式經	td[dd yi[vv jb[rw jk[jl ui[qg jk[ss
譚處端	tj[yx iu[wb dr[lu
譚峭	tj[yx qn[ux
唐舉	th[gx ju[xf
唐檀	th[gx tj[aw
唐葉真人傳	th[gx ye[ku vf[uj rf[pd ir[re
陶宏景	tc[eb hs[gu jk[ow
陶弘景	tc[eb hs[gs jk[ow
陶仲文	tc[eb vs[rv wf[wi
天道助弱	tm[hd dc[bz vu[ql ro[gg
天地否	tm[hd di[ty fz[bk
天法道	tm[hd fa[dt dc[bz
天風垢	tm[hd fg[ji gz[tp
天宮道藏	tm[hd gs[gk dc[bz zh[cw
天火同人	tm[hd ho[dp ts[kh rf[pd
天老神光經	tm[hd lc[tb uf[uo gl[xe jk[ss
天雷無妄	tm[hd lw[yt wu[ee wh[wn
天門三將軍	tm[hd mf[du sj[hh jl[dx jy[gi
天目山	tm[hd mu[we uj[uk
天山遁	tm[hd uj[uk dy[pz
天師道	tm[hd ui[uh dc[bz
天師洞	tm[hd ui[uh ds[dk
天書	tm[hd uu[vv
天水訟	tm[hd uv[uu ss[yb
天仙金丹心法	tm[hd xm[ru jb[rw dj[kw xb[dv fa[dt
天仙直理真論	tm[hd xm[ru vi[uj li[wo vf[uj ly[yr
天心	tm[hd xb[dv
天心派	tm[hd xb[dv pd[dp
天乙真慶宮	tm[hd yi[vv vf[uj qk[gd gs[gk
天隱子	tm[hd yb[ed zi[lh
天隱子養生書	tm[hd yb[ed zi[lh yh[yp ug[pf uu[vv
天澤履	tm[hd ze[dy lv[ur
天尊	tm[hd zy[bc
調藥	tn[yk yc[cs
鐵柺李	tp[jp gk[fk li[az
桐柏宮	ts[ak bd[ab gs[gk
銅牌記	ts[jk pd[pb ji[yk
通玄	ts[sz xr[wy
通玄真經	ts[sz xr[wy vf[uj jk[ss
仝寅	ts[rg yb[gh
吐納	tu[kt na[sk
圖緯	tu[ww ww[sw
推九宮行年法	tv[fv jq[pv gs[gk xk[rh nm[rn fa[dt
橐龠	to[he yt[rh
橐籥	to[he yt[[
外丹	wd[xb dj[kw
萬曆續道藏	wj[hv li[il xu[su dc[bz ch[cw
萬壽道藏	wj[hv uz[fc dc[bz zh[cw
萬物負陰而抱陽	wj[hv wu[nb fu[db yb[eo er[ek bc[fb yh[eo
王常月	wh[su ih[xk yt[ke
王重陽	wh[su is[ph yh[eo
王處訥	wh[su iu[wb ne[yk
王處一	wh[su iu[wb yi[hh
汪東亭	wh[dw ds[qx tk[wd
王浮	wh[su fu[da
王嘉	wh[su jx[ul
王老志	wh[su lc[tb vi[ux
王靈官	wh[su lk[xh gr[gu
王喬	wh[su qn[pp
王屋山	wh[su wu[uh uj[uk
王希夷	wh[su xi[iu yi[hg
王玄甫	wh[su xr[wy fu[uo
王玄覽	wh[su xr[wy lj[uj
王遠知	wh[su yr[ez vi[uk
王仔昔	wh[su zd[rz xi[go
王早	wh[su zc[ou
王喆	wh[su ve[uu
王志謹	wh[su vi[ux jb[yn
魏伯陽	ww[hg bo[rb yh[eo
魏漢津	ww[hg hj[dy jb[dy
魏華存	ww[hg hx[ru cy[uz
尾閭關	ww[um lv[mk gr[bt
文昌帝君	wf[wi ih[oo di[lj jy[xk
溫瓊元帥	wf[do qs[ww yr[ee uk[uj
文史真經	wf[wi ui[ki vf[uj jk[ss
翁葆光	wg[bx bc[cr gl[xe
戊辰	wu[iv if[ie
伍沖虛	wu[rw is[dv xu[hy
武當道	wu[hv dh[xx dc[bz
武當山	wu[hv dh[xx uj[uk
五道	wu[hu dc[bz
悟道	wu[xw dc[bz
五道將軍	wu[hu dc[bz jl[dx jy[gi
五斗米道	wu[hu dz[du mi[ba dc[bz
五遁	wu[hu dy[pz
五方六國	wu[hu fh[dw lq[wb go[ww
五漸門	wu[hu jm[di mf[du
吳筠	wu[kt jy[vt
吳猛	wu[kt mg[qz
五難	wu[hu nj[yv
五氣朝元	wu[hu qi[rh ic[uo yr[ee
無上元君	wu[ee uh[bh yr[ee jy[xk
戊申	wu[iv uf[ou
五屍	wu[hu ui[kp
烏兔	wu[bv tu[dk
戊午	wu[iv wu[ru
五行	wu[hu xk[rh
五行顛倒	wu[hu xk[rh dm[uy dc[rh
伍胥	wu[rw xu[po
戊戌	wu[iv xu[wh
五芽	wu[hu ya[cy
巫炎	wu[gr yj[hh
戊寅	wu[iv yb[gh
五嶽大帝	wu[hu yt[qu da[hr di[lj
五嶽真形圖	wu[hu yt[qu vf[uj xk[kp tu[ww
武則天投龍簡	wu[hv ze[bd tm[hd tz[fj ls[yp jm[vm
悟真篇	wu[xw vf[uj pm[vh
五主	wu[hu vu[dw
戊子	wu[iv zi[lh
五祖派	wu[hu zu[uq pd[dp
郄儉	xi[ie jm[rr
西門君惠	xi[hk mf[du jy[xk hv[hx
西山群仙會真記	xi[hk uj[uk qy[xy xm[ru hv[re vf[uj ji[yk
西升經	xi[hk ug[pc jk[ss
析疑指迷論	xi[aj yi[bs vi[fb mi[mz ly[yr
西嶽大帝	xi[hk yt[qu da[hr di[lj
仙經	xm[ru jk[ss
仙品	xm[ru pb[kk
先天真一之氣	xm[ne tm[hd vf[uj yi[hh vi[dv qi[rh
仙苑編珠	xm[ru yr[cx bm[sh vu[wp
襄楷	xl[wk kd[ab
相理衡真	xl[am li[wo hg[rd vf[uj
象言	xl[dk yj[we
相掌金龜卦	xl[am vh[xf jb[rw gv[do gx[tb
相冢書	xl[am vs[gu uu[vv
蕭抱珍	xn[cx bc[fb vf[wr
蕭吉	xn[cx ji[uk
蕭廷芝	xn[cx tk[qj vi[cv
小周天	xn[ub vz[kt tm[hd
協紀辨方書	xp[ul ji[sk bm[ld fh[dw uu[vv
謝夷吾	xp[yu yi[hg wu[wk
辛丑	xb[lu iz[vu
心傳述證錄	xb[dv ir[re uu[az vg[yh lu[xu
新訂指明心法	xb[lj dk[yd vi[fb mk[oo xb[dv fa[dt
辛亥	xb[lu hd[wp
辛卯	xb[lu mc[pe
辛巳	xb[lu si[kv
辛未	xb[lu ww[ha
心息相依	xb[dv xi[zx xl[am yi[ry
心相篇	xb[dv xl[am pm[vh
心印經	xb[dv yb[pe jk[ss
辛酉	xb[lu yz[xh
辛元帥	xb[lu yr[ee uk[uj
心齋	xb[dv vd[we
性光	xk[xp gl[xe
星曆考原	xk[op li[il kc[tk yr[ib
幸靈	xk[tb lk[xh
性命圭旨	xk[xp mk[rh gv[tt vi[bo
性命雙修	xk[xp mk[rh ul[yy xq[ru
星命溯源	xk[op mk[rh su[dn yr[di
星平會海	xk[op pk[hb hv[re hd[dr
行氣	xk[rh qi[rh
形神俱妙	xk[kp uf[uo ju[rj mn[nx
星學大成	xk[op xt[xz da[hr ig[wv
修真精義雜論	xq[ru vf[uj jk[mf yi[di za[ja ly[yr
修真十書	xq[ru vf[uj ui[hu uu[vv
修真圖	xq[ru vf[uj tu[ww
許負	xu[yw fu[db
徐福	xu[rr fu[uh
虛極靜篤	xu[hy ji[aj jk[fd du[vm
許邁	xu[yw md[wz
許曼	xu[yw mj[os
徐頌堯	xu[rr ss[by yc[qh
續仙傳	xu[su xm[ru ir[re
許遜	xu[yw xy[zz
許楊	xu[yw yh[av
許元長	xu[yw yr[ee ih[ph
徐子平	xu[rr zi[lh pk[hb
許遵	xu[yw zy[bz
玄德	xr[wy de[ru
玄都寶藏	xr[wy du[te bc[gw ch[cw
玄綱論	xr[wy gh[sk ly[yr
玄關	xr[wy gr[bt
玄關一竅	xr[wy gr[bt yi[hh qn[xg
玄覽	xr[wy lj[uj
玄妙觀	xr[wy mn[nx gr[yj
玄女經	xr[wy nv[vp jk[ss
玄品錄	xr[wy pb[kk lu[xu
玄牝之門	xr[wy pb[nb vi[dv mf[du
玄氣所成	xr[wy qi[rh so[pj ig[wv
玄竅	xr[wy qn[xg
玄壇趙元帥	xr[wy tj[te vc[zi yr[ee uk[uj
玄之又玄	xr[wy vi[dv yz[vd xr[wy
玄珠	xr[wy vu[wp
玄珠錄	xr[wy vu[wp lu[xu
薛道光	xt[cp dc[bz gl[xe
巽為風	xy[kg ww[dl fg[ji
薰蒸	xy[cp vg[cl
鴉經	ya[yn jk[ss
顏惡頭	yj[ly ee[hx tz[dd
衍極	yj[rd ji[aj
嚴君平	yj[hy jy[xk pk[hb
演禽通纂	yj[dg qb[rw ts[sz zr[vm
嚴善思	yj[hy uj[yk si[tx
嚴遵	yj[hy zy[bz
陽符	yh[eo fu[vr
陽光三現	yh[eo gl[xe sj[hh xm[wj
陽火	yh[eo ho[dp
陽平治	yh[eo pk[hb vi[ds
陽神	yh[eo uf[uo
養生方導引法	yh[yp ug[pf fh[dw dc[kc yb[gu fa[dt
養生要集	yh[yp ug[pf yc[xn ji[va
養生月覽	yh[yp ug[pf yt[ke lj[uj
楊羲	yh[av xi[bh
楊希孟	yh[av xi[iu mg[zm
羊欣	yh[bs xb[jd
養性延命錄	yh[yp xk[xp yj[pj mk[rh lu[xu
羊愔	yh[bs yb[[
養鄞鄂	yh[yp yb[ne ee[ke
楊由	yh[av yz[ou
楊元慎	yh[av yr[ee uf[xu
窈冥	yc[xy mk[go
藥王山石刻	yc[cs wh[su uj[uk ui[ek ke[wd
窈窈冥冥	yc[xy yc[xy mk[go mk[go
業報經	ye[ub bc[fe jk[ss
耶律乙不哥	ye[ee lv[ry yi[vv bu[eu ge[kk
乙丑	yi[vv iz[vu
乙弗弘禮	yi[vv fu[gp hs[gs li[uv
義高	yi[di gc[wk
繹宮	yi[sy gs[gk
乙亥	yi[vv hd[wp
易漢學	yi[ob hj[dy xt[xz
易林	yi[ob lb[aa
疑龍經	yi[bs ls[yp jk[ss
乙卯	yi[vv mc[pe
易數鉤隱圖	yi[ob uu[mw gz[jb yb[ed tu[ww
乙巳	yi[vv si[kv
易圖通變	yi[ob tu[ww ts[sz bm[yy
易外別傳	yi[ob wd[xb bp[kd vr[re
乙未	yi[vv ww[ha
易心瑩	yi[ob xb[dv yk[cw
一陽來複	yi[hh yh[eo ld[hm fu[ro
一陽生	yi[hh yh[eo ug[pf
乙酉	yi[vv yz[xh
一曰清微天玉清境	yi[hh yt[wh qk[df ww[ru tm[hd yu[wd qk[df jk[tl
陰長生	yb[eo ih[ph ug[pf
尹澄	yb[xp ig[dd
陰符	yb[eo fu[vr
陰符經	yb[eo fu[vr jk[ss
陰蹺	yb[eo qn[zq
殷紹	yb[pj uc[sd
陰神	yb[eo uf[uo
引書	yb[gu uu[vv
陰陽	yb[eo yh[eo
陰陽書	yb[eo yh[eo uu[vv
尹真人	yb[xp vf[uj rf[pd
尹志平	yb[xp vi[ux pk[hb
應化經	yk[gx hx[rq jk[ss
櫻寧	yk[ab nk[gd
應物	yk[gx wu[nb
盈虛	yk[nm xu[hy
墉城集仙錄	ys[tg ig[tw ji[va xm[ru lu[xu
永樂宮	ys[dv le[px gs[gk
酉陽雜俎	yz[xh yh[eo za[ja zu[rq
禹步	yu[pk bu[vu
玉晨之精氣	yu[wd if[oi vi[dv jk[mf qi[rh
玉池	yu[wd ii[dy
庾道集	yu[gj dc[bz ji[va
玉牒金書	yu[wd dp[pn jb[rw uu[vv
玉管照神局	yu[wd gr[vg vc[od uf[uo ju[uv
玉暉煥耀	yu[wd hv[og hr[hd yc[xx
于吉	yu[eu ji[uk
庾季才	yu[gj ji[hz cd[hu
於君道	yu[eu jy[xk dc[bz
鬱壘	yu[ue lw[st
俞靈璝	yu[rh lk[xh gv[[
玉隆萬壽宮	yu[wd ls[ew wj[hv uz[fc gs[gk
御女損益篇	yu[rw nv[vp sy[fk yi[bm pm[vh
玉女隱微	yu[wd nv[vp yb[ed ww[ru
玉清元始天尊	yu[wd qk[df yr[ee ui[ns tm[hd zy[bc
嵛山派	yu[ur uj[uk pd[dp
雨師	yu[hk ui[uh
遇仙派	yu[oz xm[ru pd[dp
俞琰	yu[rh yj[wh
禹余天	yu[pk yu[re tm[hd
玉照定真經	yu[wd vc[od dk[gp vf[uj jk[ss
玉枕關	yu[wd vf[ag gr[bt
元符宮	yr[ee fu[vr gs[gk
袁珙	yr[tk gs[wg
元關	yr[ee gr[bt
元和	yr[ee he[hk
元君	yr[ee jy[xk
袁客師	yr[tk ke[gw ui[uh
元牝	yr[ee pb[nb
元氣	yr[ee qi[rh
元氣所成	yr[ee qi[rh so[pj ig[wv
元神	yr[ee uf[uo
元始天尊	yr[ee ui[ns tm[hd zy[bc
原始天尊	yr[ib ui[ns tm[hd zy[bc
袁天綱	yr[tk tm[hd gh[sk
袁忠徹	yr[tk vs[vx ie[rq
月波洞中記	yt[ke bo[dp ds[dk vs[ku ji[yk
雲簋七籖	yy[es gv[vg qi[hv qm[[
雲笈七籤	yy[es ji[vj qi[hv qm[vr
雲蒸雨降	yy[es vg[cl yu[hk jl[ew
雲篆	yy[es vr[vv
雜齋法	za[ja vd[we fa[dt
葬法倒杖	zh[ch fa[dt dc[rh vh[ah
葬經	zh[ch jk[ss
葬書注	zh[ch uu[vv vu[dd
澤火革	ze[dy ho[dp ge[nk
澤山鹹	ze[dy uj[uk xm[wh
澤水困	ze[dy uv[uu ky[wa
澤天夬	ze[dy tm[hd gk[vd
齋法	vd[we fa[dt
宅經	vd[gp jk[ss
占卜書	vj[bk bu[ud uu[vv
占夢經	vj[bk mg[ax jk[ss
占夢書	vj[bk mg[ax uu[vv
佔命書	vj[bk mk[rh uu[vv
張寶	vh[gi bc[gw
張伯端	vh[gi bo[rb dr[lu
張道陵	vh[gi dc[bz lk[et
張恩溥	vh[gi en[wx pu[df
張果老	vh[gi go[oa lc[tb
張國祥	vh[gi go[ww xl[uy
張衡	vh[gi hg[rd
張角	vh[gi jn[do
張憬藏	vh[gi jk[xo ch[cw
張君房	vh[gi jy[xk fh[hf
張梁	vh[gi ll[da
張陵	vh[gi lk[et
張留孫	vh[gi lq[pt sy[zx
張魯	vh[gi lu[yo
張起隆	vh[gi qi[zk ls[ew
張清夜	vh[gi qk[df ye[wr
張仁晸	vh[gi rf[re vg[[
張三丰	vh[gi sj[hh fg[su
張盛	vh[gi ug[wm
張嗣成	vh[gi si[kv ig[wv
張無夢	vh[gi wu[ee mg[ax
張行成	vh[gi xk[rh ig[wv
張修	vh[gi xq[ru
張與材	vh[gi yu[hv cd[ac
張宇初	vh[gi yu[ge iu[yd
張與棣	vh[gi yu[hv di[ax
張正常	vh[gi vg[hv ih[xk
張正隨	vh[gi vg[hv sv[eu
張志和	vh[gi vi[ux he[hk
張紫陽	vh[gi zi[vy yh[eo
張宗演	vh[gi zs[ge yj[dg
趙避塵	vc[zi bi[uz if[xt
趙炳	vc[zi bk[hh
趙初暘	vc[zi iu[yd yh[ov
趙輔和	vc[zi fu[if he[hk
趙歸真	vc[zi gv[ux vf[uj
趙修己	vc[zi xq[ru ji[kv
趙直	vc[zi vi[uj
真常	vf[uj ih[xk
真大道	vf[uj da[hr dc[bz
真道升聖境	vf[uj dc[bz ug[pc ug[yt jk[tl
真誥	vf[uj gc[yn
真靈位業圖	vf[uj lk[xh ww[rl ye[ub tu[ww
真龍虎九仙經	vf[uj ls[yp hu[hj jq[pv xm[ru jk[ss
真氣	vf[uj qi[rh
真仙直指語錄	vf[uj xm[ru vi[uj vi[fb yu[yw lu[xu
真性	vf[uj xk[xp
真陽	vf[uj yh[eo
真一金丹訣	vf[uj yi[hh jb[rw dj[kw jt[yv
真陰	vf[uj yb[eo
真元妙道要略	vf[uj yr[ee mn[nx dc[bz yc[xn lt[tw
枕中方	vf[ag vs[ku fh[dw
枕中記	vf[ag vs[ku ji[yk
拯道齋	vg[fl dc[bz vd[we
正統道藏	vg[hv ts[sw dc[bz zh[cw
正一道	vg[hv yi[hh dc[bz
正一經	vg[hv yi[hh jk[ss
正一盟威道	vg[hv yi[hh mg[om ww[wh dc[bz
正一威儀經	vg[hv yi[hh ww[wh yi[rd jk[ss
鄭隱	vg[be yb[ed
正子時	vg[hv zi[lh ui[oc
止念	vi[uh nm[rx
智緣	vi[uo yr[sv
中丹田	vs[ku dj[kw tm[wu
中道	vs[ku dc[bz
中宮	vs[ku gs[gk
中和集	vs[ku he[hk ji[va
中黃直透	vs[ku hl[gy vi[uj tz[hz
鍾離權	vs[jv li[wk qr[ay
鍾呂傳道集	vs[jv lv[kk ir[re dc[bz ji[va
終南山	vs[sw nj[uk uj[uk
眾術類	vs[rr uu[ad lw[md
踵息	vs[zp xi[zx
重玄	vs[ph xr[wy
重玄學派	vs[ph xr[wy xt[xz pd[dp
中嶽大帝	vs[ku yt[qu da[hr di[lj
中嶽廟	vs[ku yt[qu mn[gy
周顛仙	vz[kt dm[uy xm[ru
周公卜法	vz[kt gs[bs bu[ud fa[dt
周公解夢書	vz[kt gs[bs jp[dd mg[ax uu[vv
肘後神經大全	vz[oc hz[pk uf[uo jk[ss da[hr qr[rw
周克明	vz[kt ke[ge mk[oo
周亮	vz[kt ll[wj
周易參同契	vz[kt yi[ob cj[sd ts[kh qi[fd
築基煉己	vu[vg ji[qt lm[hq ji[kv
朱建平	vu[ph jm[yj pk[hb
硃砂	vu[ph ua[ex
諸真內丹集要	vu[yt vf[uj nw[kr dj[kw ji[va yc[xn
諸真玄奧集成	vu[yt vf[uj xr[wy ao[pd ji[va ig[wv
莊子	vl[gt zi[lh
紫清真人	zi[vy qk[df vf[uj rf[pd
自然齋	zi[pm rj[xd vd[we
梓慎	zi[al uf[xu
子孫叢林	zi[lh sy[zx cs[rh lb[aa
子孫廟	zi[lh sy[zx mn[gy
紫團丹經	zi[vy tr[wc dj[kw jk[ss
紫微北極大帝	zi[vy ww[ru bw[ub ji[aj da[hr di[lj
紫微斗數	zi[vy ww[ru dz[du uu[mw
紫霄宮	zi[vy xn[yx gs[gk
走火	zz[tv ho[dp
遵生八箋	zy[bz ug[pf ba[pd jm[vj
左慈	zo[ug ci[bx
坐忘	zo[rr wh[wx
坐忘論	zo[rr wh[wx ly[yr
