阿巴嘎旗	aa[ek ba[ku ga[ke qi[fr
撫順縣	fu[fe uy[iy xm[qs
撫松縣	fu[fe ss[ab xm[qs
扶綏縣	fu[fe sv[sa xm[qs
福田區	fu[uh tm[wu qu[ki
富縣	fu[gh xm[qs
阜新蒙古族自治縣	fu[pu xb[lj mg[ch gu[uk zu[fr zi[pm vi[ds xm[qs
阜新市	fu[pu xb[lj ui[wj
復興區	fu[ro xk[xb qu[ki
富陽區	fu[gh yh[eo qu[ki
阜陽市	fu[pu yh[eo ui[wj
扶余市	fu[fe yu[re ui[wj
富裕縣	fu[gh yu[yb xm[qs
撫遠市	fu[fe yr[ez ui[wj
富源縣	fu[gh yr[di xm[qs
富蘊縣	fu[gh yy[cs xm[qs
撫州市	fu[fe vz[dp ui[wj
福州市	fu[uh vz[dp ui[wj
噶爾縣	ga[kc er[dx xm[qs
改則縣	gd[kw ze[bd xm[qs
蓋州市	gd[bm vz[dp ui[wj
甘德縣	gj[nh de[ru xm[qs
甘谷縣	gj[nh gu[bk xm[qs
甘井子區	gj[nh jk[ep zi[lh qu[ki
甘洛縣	gj[nh lo[dw xm[qs
甘南縣	gj[nh nj[uk xm[qs
甘南藏族自治州	gj[nh nj[uk zh[cw zu[fr zi[pm vi[ds vz[dp
甘泉縣	gj[nh qr[bu xm[qs
甘肅省	gj[nh su[xu ug[xm
贛縣區	gj[lw xm[qs qu[ki
贛榆區	gj[lw yu[ar qu[ki
甘州區	gj[nh vz[dp qu[ki
贛州市	gj[lw vz[dp ui[wj
甘孜縣	gj[nh zi[zw xm[qs
甘孜藏族自治州	gj[nh zi[zw zh[cw zu[fr zi[pm vi[ds vz[dp
崗巴縣	gh[uk ba[ku xm[qs
港北區	gh[dg bw[ub qu[ki
剛察縣	gh[kd ia[gx xm[qs
鋼城區	gh[jk ig[tw qu[ki
港口區	gh[dg kz[uv qu[ki
港南區	gh[dg nj[uk qu[ki
高安市	gc[wk an[gn ui[wj
高碑店市	gc[wk bw[eb dm[gb ui[wj
高昌區	gc[wk ih[oo qu[ki
藁城區	gc[ca ig[tw qu[ki
高淳區	gc[wk iy[dw qu[ki
高港區	gc[wk gh[dg qu[ki
皋蘭縣	gc[bd lj[bs xm[qs
高陵區	gc[wk lk[et qu[ki
高密市	gc[wk mi[gu ui[wj
高明區	gc[wk mk[oo qu[ki
高坪區	gc[wk pk[tp qu[ki
高平市	gc[wk pk[hb ui[wj
高青縣	gc[wk qk[fo xm[qs
高臺縣	gc[wk td[sk xm[qs
高唐縣	gc[wk th[gx xm[qs
高縣	gc[wk xm[qs
高陽縣	gc[wk yh[eo xm[qs
高要區	gc[wk yc[xn qu[ki
高邑縣	gc[wk yi[kb xm[qs
高郵市	gc[wk yz[ye ui[wj
高州市	gc[wk vz[dp ui[wj
格爾木市	ge[aw er[dx mu[ub ui[wj
革吉縣	ge[nk ji[uk xm[qs
箇舊市	ge[ru jq[uo ui[wj
根河市	gf[ag he[dk ui[wj
耿馬傣族佤族自治縣	gg[eh ma[vv dd[rs zu[fr wa[rw zu[fr zi[pm vi[ds xm[qs
公安縣	gs[bs an[gn xm[qs
工布江達縣	gs[hu bu[uj jl[dg da[dz xm[qs
弓長嶺區	gs[kv ih[ph lk[ur qu[ki
恭城瑤族自治縣	gs[gx ig[tw yc[wa zu[fr zi[pm vi[ds xm[qs
貢嘎縣	gs[gb ga[ke xm[qs
共和縣	gs[gb he[hk xm[qs
貢井區	gs[gb jk[ep qu[ki
貢覺縣	gs[gb jt[xj xm[qs
鞏留縣	gs[gj lq[pt xm[qs
工農區	gs[hu ns[gy qu[ki
共青城市	gs[gb qk[fo ig[tw ui[wj
貢山獨龍族怒族自治縣	gs[gb uj[uk du[qi ls[yp zu[fr nu[nx zu[fr zi[pm vi[ds xm[qs
拱墅區	gs[fg uu[ot qu[ki
珙縣	gs[wg xm[qs
鞏義市	gs[gj yi[di ui[wj
公主嶺市	gs[bs vu[dw lk[ur ui[wj
固安縣	gu[wg an[gn xm[qs
古城區	gu[uk ig[tw qu[ki
故城縣	gu[gw ig[tw xm[qs
谷城縣	gu[bk ig[tw xm[qs
古交市	gu[uk jn[li ui[wj
古浪縣	gu[uk lh[dl xm[qs
古藺縣	gu[uk lb[cm xm[qs
鼓樓區	gu[uu lz[am qu[ki
固始縣	gu[wg ui[ns xm[qs
姑蘇區	gu[ng su[cl qu[ki
古塔區	gu[uk ta[tc qu[ki
古田縣	gu[uk tm[wu xm[qs
古縣	gu[uk xm[qs
固陽縣	gu[wg yh[eo xm[qs
古冶區	gu[uk ye[ds qu[ki
固原市	gu[wg yr[ib ui[wj
沽源縣	gu[dg yr[di xm[qs
古丈縣	gu[uk vh[hi xm[qs
固鎮縣	gu[wg vf[ju xm[qs
瓜州縣	gx[ps vz[dp xm[qs
管城回族區	gr[vg ig[tw hv[wk zu[fr qu[ki
官渡區	gr[gu du[dg qu[ki
關嶺布依族苗族自治縣	gr[bt lk[ur bu[uj yi[ry zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
灌南縣	gr[dc nj[uk xm[qs
觀山湖區	gr[yj uj[uk hu[dg qu[ki
館陶縣	gr[ug tc[eb xm[qs
冠縣	gr[ge xm[qs
灌陽縣	gr[dc yh[eo xm[qs
灌雲縣	gr[dc yy[es xm[qs
廣安區	gl[di an[gn qu[ki
廣安市	gl[di an[gn ui[wj
廣昌縣	gl[di ih[oo xm[qs
廣德市	gl[di de[ru ui[wj
廣東省	gl[di ds[qx ug[xm
廣豐區	gl[di fg[su qu[ki
廣漢市	gl[di hj[dy ui[wj
廣河縣	gl[di he[dk xm[qs
廣陵區	gl[di lk[et qu[ki
廣靈縣	gl[di lk[xh xm[qs
光明區	gl[xe mk[oo qu[ki
廣南縣	gl[di nj[uk xm[qs
廣寧縣	gl[di nk[gd xm[qs
廣平縣	gl[di pk[hb xm[qs
廣饒縣	gl[di rc[uq xm[qs
光山縣	gl[xe uj[uk xm[qs
廣水市	gl[di uv[uu ui[wj
廣西壯族自治區	gl[di xi[hk vl[du zu[fr zi[pm vi[ds qu[ki
廣信區	gl[di xb[ry qu[ki
廣陽區	gl[di yh[eo qu[ki
廣元市	gl[di yr[ee ui[wj
光澤縣	gl[xe ze[dy xm[qs
廣州市	gl[di vz[dp ui[wj
廣宗縣	gl[di zs[ge xm[qs
貴池區	gv[vb ii[dy qu[ki
貴德縣	gv[vb de[ru xm[qs
貴定縣	gv[vb dk[gp xm[qs
桂東縣	gv[at ds[qx xm[qs
貴港市	gv[vb gh[dg ui[wj
桂林市	gv[at lb[aa ui[wj
貴南縣	gv[vb nj[uk xm[qs
桂平市	gv[at pk[hb ui[wj
貴溪市	gv[vb xi[da ui[wj
貴陽市	gv[vb yh[eo ui[wj
桂陽縣	gv[at yh[eo xm[qs
貴州省	gv[vb vz[dp ug[xm
果洛藏族自治州	go[oa lo[dw zh[cw zu[fr zi[pm vi[ds vz[dp
渦陽縣	go[dk yh[eo xm[qs
哈巴河縣	ha[kr ba[ku he[dk xm[qs
哈爾濱市	ha[kr er[dx bb[dg ui[wj
哈密市	ha[kr mi[gu ui[wj
海安市	hd[dr an[gn ui[wj
海北藏族自治州	hd[dr bw[ub zh[cw zu[fr zi[pm vi[ds vz[dp
海勃灣區	hd[dr bo[ul wj[dy qu[ki
海滄區	hd[dr ch[dr qu[ki
海城區	hd[dr ig[tw qu[ki
海城市	hd[dr ig[tw ui[wj
海淀區	hd[dr dm[dg qu[ki
海東市	hd[dr ds[qx ui[wj
海豐縣	hd[dr fg[su xm[qs
海港區	hd[dr gh[dg qu[ki
海口市	hd[dr kz[uv ui[wj
海拉爾區	hd[dr la[fl er[dx qu[ki
海林市	hd[dr lb[aa ui[wj
海陵區	hd[dr lk[et qu[ki
海倫市	hd[dr ly[rr ui[wj
海門區	hd[dr mf[du qu[ki
海南區	hd[dr nj[uk qu[ki
海南省	hd[dr nj[uk ug[xm
海南藏族自治州	hd[dr nj[uk zh[cw zu[fr zi[pm vi[ds vz[dp
海寧市	hd[dr nk[gd ui[wj
海曙區	hd[dr uu[os qu[ki
海棠區	hd[dr th[xa qu[ki
海西蒙古族藏族自治州	hd[dr xi[hk mg[ch gu[uk zu[fr zh[cw zu[fr zi[pm vi[ds vz[dp
海興縣	hd[dr xk[xb xm[qs
海晏縣	hd[dr yj[og xm[qs
海鹽縣	hd[dr yj[tm xm[qs
海陽市	hd[dr yh[eo ui[wj
海原縣	hd[dr yr[ib xm[qs
海州區	hd[dr vz[dp qu[ki
海珠區	hd[dr vu[wp qu[ki
漢濱區	hj[dy bb[dg qu[ki
韓城市	hj[uw ig[tw ui[wj
漢川市	hj[dy ir[pu ui[wj
邯鄲市	hj[ge dj[be ui[wj
涵江區	hj[dl jl[dg qu[ki
邗江區	hj[ge jl[dg qu[ki
漢南區	hj[dy nj[uk qu[ki
邯山區	hj[ge uj[uk qu[ki
含山縣	hj[rk uj[uk xm[qs
漢壽縣	hj[dy uz[fc xm[qs
漢臺區	hj[dy td[sk qu[ki
寒亭區	hj[gd tk[wd qu[ki
漢陽區	hj[dy yh[eo qu[ki
漢陰縣	hj[dy yb[eo xm[qs
漢源縣	hj[dy yr[di xm[qs
漢中市	hj[dy vs[ku ui[wj
杭錦後旗	hh[aw jb[jb hz[pk qi[fr
杭錦旗	hh[aw jb[jb qi[fr
杭州市	hh[aw vz[dp ui[wj
濠江區	hc[dw jl[dg qu[ki
河北區	he[dk bw[ub qu[ki
河北省	he[dk bw[ub ug[xm
鶴壁市	he[gn bi[ut ui[wj
和布克賽爾蒙古自治縣	he[hk bu[uj ke[ge sd[gb er[dx mg[ch gu[uk zi[pm vi[ds xm[qs
鶴城區	he[gn ig[tw qu[ki
河池市	he[dk ii[dy ui[wj
合川區	he[rh ir[pu qu[ki
河東區	he[dk ds[qx qu[ki
合肥市	he[rh fw[ob ui[wj
鶴峰縣	he[gn fg[uw xm[qs
鶴崗市	he[gn gh[uk ui[wj
河間市	he[dk jm[mo ui[wj
合江縣	he[rh jl[dg xm[qs
河津市	he[dk jb[dy ui[wj
和靜縣	he[hk jk[fd xm[qs
河口區	he[dk kz[uv qu[ki
河口瑤族自治縣	he[dk kz[uv yc[wa zu[fr zi[pm vi[ds xm[qs
賀蘭縣	he[lb lj[bs xm[qs
和林格爾縣	he[hk lb[aa ge[aw er[dx xm[qs
和龍市	he[hk ls[yp ui[wj
河南蒙古族自治縣	he[dk nj[uk mg[ch gu[uk zu[fr zi[pm vi[ds xm[qs
河南省	he[dk nj[uk ug[xm
和平區	he[hk pk[hb qu[ki
和平縣	he[hk pk[hb xm[qs
合浦縣	he[rh pu[df xm[qs
鶴慶縣	he[gn qk[gd xm[qs
河曲縣	he[dk qu[ou xm[qs
赫山區	he[tt uj[uk qu[ki
鶴山區	he[gn uj[uk qu[ki
合山市	he[rh uj[uk ui[wj
鶴山市	he[gn uj[uk ui[wj
合水縣	he[rh uv[uu xm[qs
和順縣	he[hk uy[iy xm[qs
和碩縣	he[hk uo[ey xm[qs
荷塘區	he[cr th[tg qu[ki
和田地區	he[hk tm[wu di[ty qu[ki
和田市	he[hk tm[wu ui[wj
和田縣	he[hk tm[wu xm[qs
河西區	he[dk xi[hk qu[ki
和縣	he[hk xm[qs
合陽縣	he[rh yh[eo xm[qs
河源市	he[dk yr[di ui[wj
菏澤市	he[cd ze[dy ui[wj
赫章縣	he[tt vh[lo xm[qs
和政縣	he[hk vg[hw xm[qs
賀州市	he[lb vz[dp ui[wj
合作市	he[rh zo[rv ui[wj
黑河市	hw[sd he[dk ui[wj
黑龍江省	hw[sd ls[yp jl[dg ug[xm
黑山縣	hw[sd uj[uk xm[qs
黑水縣	hw[sd uv[uu xm[qs
衡東縣	hg[rd ds[qx xm[qs
橫峰縣	hg[ag fg[uw xm[qs
衡南縣	hg[rd nj[uk xm[qs
恆山區	hg[xh uj[uk qu[ki
橫山區	hg[ag uj[uk qu[ki
衡山縣	hg[rd uj[uk xm[qs
衡水市	hg[rd uv[uu ui[wj
橫縣	hg[ag xm[qs
衡陽市	hg[rd yh[eo ui[wj
衡陽縣	hg[rd yh[eo xm[qs
紅安縣	hs[sg an[gn xm[qs
紅崗區	hs[sg gh[uk qu[ki
紅古區	hs[sg gu[uk qu[ki
紅谷灘區	hs[sg gu[bk tj[dy qu[ki
紅河哈尼族彝族自治州	hs[sg he[dk ha[kr ni[ub zu[fr yi[vm zu[fr zi[pm vi[ds vz[dp
紅河縣	hs[sg he[dk xm[qs
洪湖市	hs[dg hu[dg ui[wj
紅花崗區	hs[sg hx[cr gh[uk qu[ki
洪江市	hs[dg jl[dg ui[wj
虹口區	hs[ig kz[uv qu[ki
紅旗區	hs[sg qi[fr qu[ki
紅橋區	hs[sg qn[ap qu[ki
洪山區	hs[dg uj[uk qu[ki
紅山區	hs[sg uj[uk qu[ki
紅寺堡區	hs[sg si[tc bc[rt qu[ki
紅塔區	hs[sg ta[tc qu[ki
洪洞縣	hs[dg ts[dk xm[qs
宏偉區	hs[gu ww[rw qu[ki
洪雅縣	hs[dg ya[yv xm[qs
紅原縣	hs[sg yr[ib xm[qs
洪澤區	hs[dg ze[dy qu[ki
侯馬市	hz[rv ma[vv ui[wj
湖北省	hu[dg bw[ub ug[xm
湖濱區	hu[dg bb[dg qu[ki
壺關縣	hu[uy gr[bt xm[qs
呼和浩特市	hu[kp he[hk hc[dn te[nt ui[wj
湖口縣	hu[dg kz[uv xm[qs
呼蘭區	hu[kp lj[bs qu[ki
湖裡區	hu[dg li[ot qu[ki
虎林市	hu[hj lb[aa ui[wj
葫蘆島市	hu[cg lu[ch dc[nu ui[wj
呼倫貝爾市	hu[kp ly[rr bw[kr er[dx ui[wj
呼瑪縣	hu[kp ma[wm xm[qs
湖南省	hu[dg nj[uk ug[xm
虎丘區	hu[hj qq[jh qu[ki
呼圖壁縣	hu[kp tu[ww bi[ut xm[qs
胡楊河市	hu[go yh[av he[dk ui[wj
鄠邑區	hu[[ yi[kb qu[ki
湖州市	hu[dg vz[dp ui[wj
互助土族自治縣	hu[hv vu[ql tu[uh zu[fr zi[pm vi[ds xm[qs
華安縣	hx[ru an[gn xm[qs
華池縣	hx[ru ii[dy xm[qs
樺川縣	hx[ar ir[pu xm[qs
化德縣	hx[rq de[ru xm[qs
樺甸市	hx[ar dm[bt ui[wj
花都區	hx[cr du[te qu[ki
化隆回族自治縣	hx[rq ls[ew hv[wk zu[fr zi[pm vi[ds xm[qs
華龍區	hx[ru ls[yp qu[ki
樺南縣	hx[ar nj[uk xm[qs
華寧縣	hx[ru nk[gd xm[qs
華坪縣	hx[ru pk[tp xm[qs
華容區	hx[ru rs[xr qu[ki
華容縣	hx[ru rs[xr xm[qs
花山區	hx[cr uj[uk qu[ki
華亭市	hx[ru tk[wd ui[wj
花溪區	hx[cr xi[da qu[ki
滑縣	hx[dg xm[qs
華陰市	hx[ru yb[eo ui[wj
華鎣市	hx[ru yk[cj ui[wj
花垣縣	hx[cr yr[th xm[qs
華州區	hx[ru vz[dp qu[ki
化州市	hx[rq vz[dp ui[wj
淮安區	hk[dv an[gn qu[ki
淮安市	hk[dv an[gn ui[wj
懷安縣	hk[xb an[gn xm[qs
淮北市	hk[dv bw[ub ui[wj
淮濱縣	hk[dv bb[dg xm[qs
懷化市	hk[xb hx[rq ui[wj
懷集縣	hk[xb ji[va xm[qs
懷來縣	hk[xb ld[hm xm[qs
淮南市	hk[dv nj[uk ui[wj
懷寧縣	hk[xb nk[gd xm[qs
懷仁市	hk[xb rf[re ui[wj
懷柔區	hk[xb rz[ya qu[ki
淮上區	hk[dv uh[bh qu[ki
淮陽區	hk[dv yh[eo qu[ki
槐蔭區	hk[ag yb[ce qu[ki
淮陰區	hk[dv yb[eo qu[ki
懷遠縣	hk[xb yr[ez xm[qs
環翠區	hr[wb cv[xw qu[ki
環江毛南族自治縣	hr[wb jl[dg mc[sv nj[uk zu[fr zi[pm vi[ds xm[qs
桓仁滿族自治縣	hr[ah rf[re mj[dc zu[fr zi[pm vi[ds xm[qs
桓臺縣	hr[ah td[sk xm[qs
環縣	hr[wb xm[qs
潢川縣	hl[dg ir[pu xm[qs
黃島區	hl[gy dc[nu qu[ki
黃岡市	hl[gy gh[ki ui[wj
皇姑區	hl[bw gu[ng qu[ki
黃驊市	hl[gy hx[mr ui[wj
黃陵縣	hl[gy lk[et xm[qs
黃龍縣	hl[gy ls[yp xm[qs
黃梅縣	hl[gy mw[ar xm[qs
黃南藏族自治州	hl[gy nj[uk zh[cw zu[fr zi[pm vi[ds vz[dp
黃陂區	hl[gy pi[ep qu[ki
黃平縣	hl[gy pk[hb xm[qs
黃埔區	hl[gy pu[tf qu[ki
黃浦區	hl[gy pu[df qu[ki
黃山區	hl[gy uj[uk qu[ki
黃山市	hl[gy uj[uk ui[wj
黃石港區	hl[gy ui[ek gh[dg qu[ki
黃石市	hl[gy ui[ek ui[wj
黃巖區	hl[gy yj[ue qu[ki
湟源縣	hl[db yr[di xm[qs
湟中區	hl[db vs[ku qu[ki
黃州區	hl[gy vz[dp qu[ki
惠安縣	hv[hx an[gn xm[qs
會昌縣	hv[re ih[oo xm[qs
惠城區	hv[hx ig[tw qu[ki
匯川區	hv[dk ir[pu qu[ki
會東縣	hv[re ds[qx xm[qs
惠東縣	hv[hx ds[qx xm[qs
惠濟區	hv[hx ji[dw qu[ki
惠來縣	hv[hx ld[hm xm[qs
會理縣	hv[re li[wo xm[qs
回民區	hv[wk mb[kv qu[ki
惠民縣	hv[hx mb[kv xm[qs
輝南縣	hv[xg nj[uk xm[qs
會寧縣	hv[re nk[gd xm[qs
惠農區	hv[hx ns[gy qu[ki
惠山區	hv[hx uj[uk qu[ki
惠水縣	hv[hx uv[uu xm[qs
會同縣	hv[re ts[kh xm[qs
徽縣	hv[ru xm[qs
輝縣市	hv[xg xm[qs ui[wj
惠陽區	hv[hx yh[eo qu[ki
會澤縣	hv[re ze[dy xm[qs
徽州區	hv[ru vz[dp qu[ki
惠州市	hv[hx vz[dp ui[wj
琿春市	hy[wg iy[so ui[wj
渾江區	hy[dg jl[dg qu[ki
渾南區	hy[dg nj[uk qu[ki
渾源縣	hy[dg yr[di xm[qs
霍城縣	ho[yv ig[tw xm[qs
霍爾果斯市	ho[yv er[dx go[oa si[qj ui[wj
獲嘉縣	ho[cq jx[ul xm[qs
霍林郭勒市	ho[yv lb[aa go[we le[gl ui[wj
霍邱縣	ho[yv qq[qe xm[qs
霍山縣	ho[yv uj[uk xm[qs
霍州市	ho[yv vz[dp ui[wj
吉安市	ji[uk an[gn ui[wj
集安市	ji[va an[gn ui[wj
吉安縣	ji[uk an[gn xm[qs
雞東縣	ji[yn ds[qx xm[qs
雞冠區	ji[yn gr[ge qu[ki
吉利區	ji[uk li[hd qu[ki
吉林省	ji[uk lb[aa ug[xm
吉林市	ji[uk lb[aa ui[wj
吉隆縣	ji[uk ls[ew xm[qs
集美區	ji[va mw[bw qu[ki
即墨區	ji[ge mo[ht qu[ki
吉木乃縣	ji[uk mu[ub nd[vp xm[qs
吉木薩爾縣	ji[uk mu[ub sa[ce er[dx xm[qs
濟南市	ji[dw nj[uk ui[wj
集寧區	ji[va nk[gd qu[ki
濟寧市	ji[dw nk[gd ui[wj
稷山縣	ji[ht uj[uk xm[qs
吉首市	ji[uk uz[be ui[wj
吉水縣	ji[uk uv[uu xm[qs
雞西市	ji[yn xi[hk ui[wj
績溪縣	ji[sf xi[da xm[qs
吉縣	ji[uk xm[qs
集賢縣	ji[va xm[ub xm[qs
吉陽區	ji[uk yh[eo qu[ki
濟陽區	ji[dw yh[eo qu[ki
濟源市	ji[dw yr[di ui[wj
雞澤縣	ji[yn ze[dy xm[qs
冀州區	ji[bt vz[dp qu[ki
吉州區	ji[uk vz[dp qu[ki
薊州區	ji[cy vz[dp qu[ki
加查縣	jx[lk ia[ao xm[qs
嘉定區	jx[ul dk[gp qu[ki
嘉禾縣	jx[ul he[pa xm[qs
夾江縣	jx[hb jl[dg xm[qs
嘉黎縣	jx[ul li[hr xm[qs
嘉陵區	jx[ul lk[et qu[ki
佳木斯市	jx[rt mu[ub si[qj ui[wj
嘉善縣	jx[ul uj[yk xm[qs
伽師縣	jx[rl ui[uh xm[qs
賈汪區	jx[xb wh[dw qu[ki
佳縣	jx[rt xm[qs
郟縣	jx[je xm[qs
嘉祥縣	jx[ul xl[uy xm[qs
嘉興市	jx[ul xk[xb ui[wj
嘉蔭縣	jx[ul yb[ce xm[qs
嘉峪關市	jx[ul yu[ub gr[bt ui[wj
嘉魚縣	jx[ul yu[dt xm[qs
建安區	jm[yj an[gn qu[ki
尖草坪區	jm[xd cc[co pk[tp qu[ki
建昌縣	jm[yj ih[oo xm[qs
劍川縣	jm[rd ir[pu xm[qs
建德市	jm[yj de[ru ui[wj
劍閣縣	jm[rd ge[mw xm[qs
劍河縣	jm[rd he[dk xm[qs
建湖縣	jm[yj hu[dg xm[qs
建華區	jm[yj hx[ru qu[ki
監利市	jm[um li[hd ui[wj
建寧縣	jm[yj nk[gd xm[qs
建甌市	jm[yj ou[kw ui[wj
建平縣	jm[yj pk[hb xm[qs
尖山區	jm[xd uj[uk qu[ki
建始縣	jm[yj ui[ns xm[qs
建水縣	jm[yj uv[uu xm[qs
澗西區	jm[dm xi[hk qu[ki
建陽區	jm[yj yh[eo qu[ki
簡陽市	jm[vm yh[eo ui[wj
建鄴區	jm[yj ye[ye qu[ki
尖扎縣	jm[xd va[fv xm[qs
江岸區	jl[dg an[ui qu[ki
江安縣	jl[dg an[gn xm[qs
江北區	jl[dg bw[ub qu[ki
江城哈尼族彝族自治縣	jl[dg ig[tw ha[kr ni[ub zu[fr yi[vm zu[fr zi[pm vi[ds xm[qs
江城區	jl[dg ig[tw qu[ki
江川區	jl[dg ir[pu qu[ki
江達縣	jl[dg da[dz xm[qs
江都區	jl[dg du[te qu[ki
江乾區	jl[dg gj[hu qu[ki
江海區	jl[dg hd[dr qu[ki
江漢區	jl[dg hj[dy qu[ki
江華瑤族自治縣	jl[dg hx[ru yc[wa zu[fr zi[pm vi[ds xm[qs
江津區	jl[dg jb[dy qu[ki
江口縣	jl[dg kz[uv xm[qs
將樂縣	jl[dx le[px xm[qs
江陵縣	jl[dg lk[et xm[qs
江門市	jl[dg mf[du ui[wj
江南區	jl[dg nj[uk qu[ki
江寧區	jl[dg nk[gd qu[ki
江山市	jl[dg uj[uk ui[wj
江蘇省	jl[dg su[cl ug[xm
江西省	jl[dg xi[hk ug[xm
江夏區	jl[dg xx[ew qu[ki
絳縣	jl[sw xm[qs
姜堰區	jl[bn yj[tk qu[ki
江陽區	jl[dg yh[eo qu[ki
江陰市	jl[dg yb[eo ui[wj
江永縣	jl[dg ys[dv xm[qs
江油市	jl[dg yz[dy ui[wj
江源區	jl[dg yr[di qu[ki
江州區	jl[dg vz[dp qu[ki
江孜縣	jl[dg zi[zw xm[qs
蕉城區	jn[cv ig[tw qu[ki
交城縣	jn[li ig[tw xm[qs
蛟河市	jn[il he[dk ui[wj
椒江區	jn[au jl[dg qu[ki
交口縣	jn[li kz[uv xm[qs
蕉嶺縣	jn[cv lk[ur xm[qs
郊區	jn[le qu[ki
膠州市	jn[ol vz[dp ui[wj
焦作市	jn[vd zo[rv ui[wj
揭東區	jp[fo ds[qx qu[ki
解放區	jp[dd fh[fw qu[ki
界首市	jp[tr uz[be ui[wj
揭西縣	jp[fo xi[hk xm[qs
介休市	jp[rp xq[ra ui[wj
揭陽市	jp[fo yh[eo ui[wj
晉安區	jb[ho an[gn qu[ki
金安區	jb[rw an[gn qu[ki
金昌市	jb[rw ih[oo ui[wj
金城江區	jb[rw ig[tw jl[dg qu[ki
晉城市	jb[ho ig[tw ui[wj
金川區	jb[rw ir[pu qu[ki
金川縣	jb[rw ir[pu xm[qs
金東區	jb[rw ds[qx qu[ki
金鳳區	jb[rw fg[jy qu[ki
金湖縣	jb[rw hu[dg xm[qs
金華市	jb[rw hx[ru ui[wj
錦江區	jb[jb jl[dg qu[ki
晉江市	jb[ho jl[dg ui[wj
金口河區	jb[rw kz[uv he[dk qu[ki
金林區	jb[rw lb[aa qu[ki
金門縣	jb[rw mf[du xm[qs
津南區	jb[dy nj[uk qu[ki
晉寧區	jb[ho nk[gd qu[ki
金牛區	jb[rw nq[pf qu[ki
金平苗族瑤族傣族自治縣	jb[rw pk[hb mn[ct zu[fr yc[wa zu[fr dd[rs zu[fr zi[pm vi[ds xm[qs
金平區	jb[rw pk[hb qu[ki
錦屏縣	jb[jb pk[ub xm[qs
金沙縣	jb[rw ua[dx xm[qs
金山區	jb[rw uj[uk qu[ki
津市市	jb[dy ui[wj ui[wj
金水區	jb[rw uv[uu qu[ki
金塔縣	jb[rw ta[tc xm[qs
金臺區	jb[rw td[sk qu[ki
金壇區	jb[rw tj[te qu[ki
金堂縣	jb[rw th[xt xm[qs
金灣區	jb[rw wj[dy qu[ki
金溪縣	jb[rw xi[da xm[qs
進賢縣	jb[ez xm[ub xm[qs
金鄉縣	jb[rw xl[sp xm[qs
金秀瑤族自治縣	jb[rw xq[hn yc[wa zu[fr zi[pm vi[ds xm[qs
金陽縣	jb[rw yh[eo xm[qs
晉源區	jb[ho yr[di qu[ki
縉雲縣	jb[sh yy[es xm[qs
金寨縣	jb[rw vd[ga xm[qs
晉中市	jb[ho vs[ku ui[wj
金州區	jb[rw vz[dp qu[ki
晉州市	jb[ho vz[dp ui[wj
錦州市	jb[jb vz[dp ui[wj
靜安區	jk[fd an[gn qu[ki
靖安縣	jk[lf an[gn xm[qs
靖邊縣	jk[lf bm[lz xm[qs
涇川縣	jk[ds ir[pu xm[qs
旌德縣	jk[fr de[ru xm[qs
景德鎮市	jk[ow de[ru vf[ju ui[wj
景東彝族自治縣	jk[ow ds[qx yi[vm zu[fr zi[pm vi[ds xm[qs
井岡山市	jk[ep gh[ki uj[uk ui[wj
景谷傣族彝族自治縣	jk[ow gu[bk dd[rs zu[fr yi[vm zu[fr zi[pm vi[ds xm[qs
靜海區	jk[fd hd[dr qu[ki
精河縣	jk[mf he[dk xm[qs
景洪市	jk[ow hs[dg ui[wj
鏡湖區	jk[jl hu[dg qu[ki
靖江市	jk[lf jl[dg ui[wj
京口區	jk[wk kz[uv qu[ki
靜樂縣	jk[fd le[px xm[qs
荊門市	jk[cd mf[du ui[wj
景寧畲族自治縣	jk[ow nk[gd ue[rt zu[fr zi[pm vi[ds xm[qs
靜寧縣	jk[fd nk[gd xm[qs
京山市	jk[wk uj[uk ui[wj
景泰縣	jk[ow td[su xm[qs
靖西市	jk[lf xi[hk ui[wj
景縣	jk[ow xm[qs
涇縣	jk[ds xm[qs
井陘礦區	jk[ep xk[es kl[eg qu[ki
井陘縣	jk[ep xk[es xm[qs
競秀區	jk[lk xq[hn qu[ki
井研縣	jk[ep yj[ek xm[qs
旌陽區	jk[fr yh[eo qu[ki
涇陽縣	jk[ds yh[eo xm[qs
靖宇縣	jk[lf yu[ge xm[qs
涇源縣	jk[ds yr[di xm[qs
靖遠縣	jk[lf yr[ez xm[qs
靖州苗族侗族自治縣	jk[lf vz[dp mn[ct zu[fr ds[rk zu[fr zi[pm vi[ds xm[qs
荊州區	jk[cd vz[dp qu[ki
荊州市	jk[cd vz[dp ui[wj
鳩江區	jq[jn jl[dg qu[ki
九江市	jq[pv jl[dg ui[wj
九龍坡區	jq[pv ls[yp po[tp qu[ki
九龍縣	jq[pv ls[yp xm[qs
酒泉市	jq[dy qr[bu ui[wj
九臺區	jq[pv td[sk qu[ki
九原區	jq[pv yr[ib qu[ki
九寨溝縣	jq[pv vd[ga gz[db xm[qs
久治縣	jq[xd vi[ds xm[qs
鉅鹿縣	ju[kk lu[gb xm[qs
莒南縣	ju[ck nj[uk xm[qs
句容市	ju[bk rs[xr ui[wj
