阿苯噠唑	aa[ek bf[ca da[kd zo[kr
二乙基硫	er[hh yi[vv ji[qt lq[ew
二乙基萘胺	er[hh yi[vv ji[qt nd[cd an[og
二乙基脲	er[hh yi[vv ji[qt nn[ou
二乙基羥胺	er[hh yi[vv ji[qt ql[ys an[og
二乙基鋅	er[hh yi[vv ji[qt xb[jl
二乙基煙酰胺	er[hh yi[vv ji[qt yj[hw xm[yn an[og
二乙基乙醇胺	er[hh yi[vv ji[qt yi[vv iy[yw an[og
二乙基乙二胺	er[hh yi[vv ji[qt yi[vv er[hh an[og
二乙基乙酸	er[hh yi[vv ji[qt yi[vv sr[ys
二乙基乙酰胺	er[hh yi[vv ji[qt yi[vv xm[yn an[og
二乙甲酯	er[hh yi[vv jx[ou vi[yb
二乙肼	er[hh yi[vv jk[oe
二乙硫醚	er[hh yi[vv lq[ew mi[ym
二異氰酸二苯甲烷	er[hh yi[kc qk[qf sr[ys er[hh bf[ca jx[ou wj[hg
二異氰酸甲苯	er[hh yi[kc qk[qf sr[ys jx[ou bf[ca
二異氰酸異佛爾酮	er[hh yi[kc qk[qf sr[ys yi[kc fo[rf er[dx ts[yk
二乙酸貝毒素	er[hh yi[vv sr[ys bw[kr du[fm su[fy
二乙酸二乙酯	er[hh yi[vv sr[ys er[hh yi[vv vi[yb
二乙酸甘油酯	er[hh yi[vv sr[ys gj[nh yz[dy vi[yb
二乙酸鋁	er[hh yi[vv sr[ys lv[jk
二乙酸熒光素	er[hh yi[vv sr[ys yk[ch gl[xe su[fy
二乙酮	er[hh yi[vv ts[yk
二異戊胺	er[hh yi[kc wu[iv an[og
二異戊醚	er[hh yi[kc wu[iv mi[ym
二乙烯苯	er[hh yi[vv xi[hi bf[ca
二乙烯三胺	er[hh yi[vv xi[hi sj[hh an[og
二乙烯酮	er[hh yi[vv xi[hi ts[yk
二乙酰苯	er[hh yi[vv xm[yn bf[ca
二乙酰基吡啶	er[hh yi[vv xm[yn ji[qt bi[kb dk[kg
二乙酰鳥嘌呤	er[hh yi[vv xm[yn nn[nh pn[kx lk[kr
二乙酰一肟	er[hh yi[vv xm[yn yi[hh wo[oh
二乙氧基苯	er[hh yi[vv yh[qy ji[qt bf[ca
二乙氧基苯胺	er[hh yi[vv yh[qy ji[qt bf[ca an[og
二乙氧基甲烷	er[hh yi[vv yh[qy ji[qt jx[ou wj[hg
二吲哚甲烷	er[hh yb[kg do[kj jx[ou wj[hg
二油酸甘油酯	er[hh yz[dy sr[ys gj[nh yz[dy vi[yb
二元強酸	er[hh yr[ee ql[gk sr[ys
二元酸	er[hh yr[ee sr[ys
二正丙胺	er[hh vg[hv bk[hk an[og
二正戊胺	er[hh vg[hv wu[iv an[og
二仲丁胺	er[hh vs[rv dk[hu an[og
二棕櫚酰甘油	er[hh zs[ag lv[am xm[yn gj[nh yz[dy
法國之風香精	fa[dt go[ww vi[dv fg[ji xl[ho jk[mf
發孔劑	fa[vy ks[zv ji[wd
法尼醇	fa[dt ni[ub iy[yw
發泡劑	fa[vy pc[db ji[wd
發生裝置	fa[vy ug[pf vl[dy vi[su
發煙硫酸	fa[vy yj[hw lq[ew sr[ys
發煙硝酸	fa[vy yj[hw xn[ex sr[ys
發煙煙酸	fa[vy yj[hw yj[hw sr[ys
發煙鹽酸	fa[vy yj[hw yj[tm sr[ys
翻板液位計	fj[px bj[ap ye[dw ww[rl ji[yu
反常混晶	fj[py ih[xk hy[do jk[oo
反常散射	fj[py ih[xk sj[gw ue[uc
反吹	fj[py iv[kd
反丁烯二腈	fj[py dk[hu xi[hi er[hh jk[of
反丁烯二酸	fj[py dk[hu xi[hi er[hh sr[ys
反丁烯酸	fj[py dk[hu xi[hi sr[ys
反反癸二烯醛	fj[py fj[py gv[dt er[hh xi[hi qr[yc
反癸烯	fj[py gv[dt xi[hi
反癸烯醇	fj[py gv[dt xi[hi iy[yw
反己烯醋酸鹽	fj[py ji[kv xi[hi cu[yg sr[ys yj[tm
凡拉明藍	fj[jd la[fl mk[oo lj[cu
反流色譜法	fj[py lq[dw se[db pu[yb fa[dt
返遷移	fj[pz qm[qz yi[hx
蕃茄苷	fj[cp qp[cl gj[cg
番茄苷	fj[pt qp[cl gj[cg
番茄汁瓊脂	fj[pt qp[cl vi[du qs[ww vi[ob
反滲透	fj[py uf[ds tz[hz
反滲透高壓泵	fj[py uf[ds tz[hz gc[wk ya[it bg[eu
反滲透增壓泵	fj[py uf[ds tz[hz zg[tb ya[it bg[eu
反式苯基丙烯	fj[py ui[qg bf[ca ji[qt bk[hk xi[hi
反式丁烯	fj[py ui[qg dk[hu xi[hi
反式二氯丁烯	fj[py ui[qg er[hh lv[qx dk[hu xi[hi
反式二氯乙烯	fj[py ui[qg er[hh lv[qx yi[vv xi[hi
反式環己二醇	fj[py ui[qg hr[wb ji[kv er[hh iy[yw
釩試劑同一樣	fj[jj ui[yq ji[wd ts[kh yi[hh yh[ay
反式己烯酸	fj[py ui[qg ji[kv xi[hi sr[ys
反式加成	fj[py ui[qg jx[lk ig[wv
反式甲基戊烯	fj[py ui[qg jx[ou ji[qt wu[iv xi[hi
反式菊酸酯	fj[py ui[qg ju[cb sr[ys vi[yb
凡士林油	fj[jd ui[uh lb[aa yz[dy
反式氯丁烯	fj[py ui[qg lv[qx dk[hu xi[hi
反式芪	fj[py ui[qg qi[cu
反式壬烯	fj[py ui[qg rf[qh xi[hi
反式肉桂醛	fj[py ui[qg rz[kr gv[at qr[yc
反式肉桂酸	fj[py ui[qg rz[kr gv[at sr[ys
反式十二烯酸	fj[py ui[qg ui[hu er[hh xi[hi sr[ys
反式十氫萘	fj[py ui[qg ui[hu qk[qs nd[cd
反式石竹烯	fj[py ui[qg ui[ek vu[rr xi[hi
反式戊二烯	fj[py ui[qg wu[iv er[hh xi[hi
反式烏頭酸	fj[py ui[qg wu[bv tz[dd sr[ys
反式烏頭酸酐	fj[py ui[qg wu[bv tz[dd sr[ys gj[yg
反式雄酮	fj[py ui[qg xs[uv ts[yk
反式玉米核苷	fj[py ui[qg yu[wd mi[ba he[aw gj[cg
反式玉米素	fj[py ui[qg yu[wd mi[ba su[fy
反式粘糠酸	fj[py ui[qg vj[mb kh[mg sr[ys
反式脂肪	fj[py ui[qg vi[ob fh[of
釩酸銨鈉	fj[jj sr[ys an[jg na[jk
泛酸鈣	fj[dp sr[ys gd[jx
釩酸酐	fj[jj sr[ys gj[yg
釩酸鉀	fj[jj sr[ys jx[jo
泛酸鑑定肉湯	fj[dp sr[ys jm[uj dk[gp rz[kr th[dv
泛酸鈉	fj[dp sr[ys na[jk
範托夫定律	fj[cd to[fp fu[er dk[gp lv[ry
泛酰內酯	fj[dp xm[yn nw[kr vi[yb
反相分配色譜法	fj[py xl[am ff[bd pw[yk se[db pu[yb fa[dt
反辛烯	fj[py xb[lu xi[hi
釩亞鐵合金粉塵	fj[jj ya[hy tp[jp he[rh jb[rw ff[mf if[xt
反應板	fj[py yk[gx bj[ap
反應截面	fj[py yk[gx jp[tv mm[ew
反應進度	fj[py yk[gx jb[ez du[gn
反應歷程	fj[py yk[gx li[il ig[hk
反應臨界能	fj[py yk[gx lb[uv jp[tr ng[sb
反應瓶	fj[py yk[gx pk[bw
泛影葡胺	fj[dp yk[op pu[cb an[og
反應器	fj[py yk[gx qi[kq
反應容器	fj[py yk[gx rs[xr qi[kq
反應速率	fj[py yk[gx su[hz lv[wu
泛影酸	fj[dp yk[op sr[ys
泛影酰胺	fj[dp yk[op xm[yn an[og
反應終止劑	fj[py yk[gx vs[sw vi[uh ji[wd
反應裝置	fj[py yk[gx vl[dy vi[su
反油酸	fj[py yz[dy sr[ys
反油酸甲酯	fj[py yz[dy sr[ys jx[ou vi[yb
反札依採夫定向	fj[py va[av yi[ry cd[aa fu[er dk[gp xl[pk
反置雙聚焦質譜計	fj[py vi[su ul[yy ju[ep jn[vd vi[pu pu[yb ji[yu
放氨閥	fh[fw an[qg fa[mr
方波極譜法	fh[dw bo[dp ji[aj pu[yb fa[dt
方差分析	fh[dw ia[yg ff[bd xi[aj
方差齊性	fh[dw ia[yg qi[wp xk[xp
防倒吸	fh[ef dc[rh xi[kj
防倒吸裝置	fh[ef dc[rh xi[kj vl[dy vi[su
放電流動法	fh[fw dm[ov lq[dw ds[el fa[dt
防腐防繡油	fh[ef fu[gk fh[ef xq[sh yz[dy
防劃痕劑	fh[ef hx[gd hf[bg ji[wd
防火玻璃	fh[ef ho[dp bo[wp li[ww
芳基化	fh[cf ji[qt hx[rq
芳基正離子	fh[cf ji[qt vg[hv li[wk zi[lh
放淨槽	fh[fw jk[dd cc[ah
防老劑	fh[ef lc[tb ji[wd
防黴劑	fh[ef mw[yr ji[wd
方鈉石	fh[dw na[jk ui[ek
放熱反應	fh[fw re[fd fj[py yk[gx
放射化學純	fh[fw ue[uc hx[rq xt[xz iy[st
放射極譜法	fh[fw ue[uc ji[aj pu[yb fa[dt
放射免疫分析	fh[fw ue[uc mm[dk yi[bj ff[bd xi[aj
放射生物化學	fh[fw ue[uc ug[pf wu[nb hx[rq xt[xz
放射性	fh[fw ue[uc xk[xp
放射性標準源	fh[fw ue[uc xk[xp bn[ae vy[dv yr[di
放射性滴定	fh[fw ue[uc xk[xp di[dl dk[gp
放射性廢物處置庫	fh[fw ue[uc xk[xp fw[gv wu[nb iu[wb vi[su ku[gi
放射性廢物煅燒	fh[fw ue[uc xk[xp fw[gv wu[nb dr[hp uc[hq
放射性核素發生器	fh[fw ue[uc xk[xp he[aw su[fy fa[vy ug[pf qi[kq
放射性活度	fh[fw ue[uc xk[xp ho[dq du[gn
放射性氣溶膠	fh[fw ue[uc xk[xp qi[rh rs[dx jn[ol
放射性釋放測定	fh[fw ue[uc xk[xp ui[py fh[fw ce[db dk[gp
放射性衰變常數	fh[fw ue[uc xk[xp uk[wk bm[yy ih[xk uu[mw
放射性衰變綱圖	fh[fw ue[uc xk[xp uk[wk bm[yy gh[sk tu[ww
放射性元素	fh[fw ue[uc xk[xp yr[ee su[fy
放射性暫時平衡	fh[fw ue[uc xk[xp zj[io ui[oc pk[hb hg[rd
放射藥物治療	fh[fw ue[uc yc[cs wu[nb vi[ds ln[bl
放水瓶	fh[fw uv[uu pk[bw
防縮	fh[ef so[sg
芳香鹵代烴	fh[cf xl[ho lu[bw dd[rq tk[hs
芳香烴	fh[cf xl[ho tk[hs
芳香性	fh[cf xl[ho xk[xp
芳樟醇	fh[cf vh[al iy[yw
飛布達	fw[vp bu[uj da[dz
廢氮液	fw[gv dj[qh ye[dw
廢氮液泵	fw[gv dj[qh ye[dw bg[eu
非等比化合物	fw[su dg[vt bi[bb hx[rq he[rh wu[nb
非電解質	fw[su dm[ov jp[dd vi[pu
非電解質溶液	fw[su dm[ov jp[dd vi[pu rs[dx ye[dw
菲啶昇華	fw[cf dk[kg ug[pc hx[ru
非定域鍵	fw[su dk[gp yu[tg jm[jy
非獨立粒子系集	fw[su du[qi li[lh li[ml zi[lh xi[py ji[va
非對映異構體	fw[su dv[yc yk[ok yi[kc gz[ab ti[ra
非規整嵌段	fw[su gv[ej vg[hh qm[ug dr[pj
廢鍋	fw[gv go[jk
飛灰可燃物	fw[vp hv[uh ke[dk rj[hx wu[nb
非極性分子	fw[su ji[aj xk[xp ff[bd zi[lh
非極性鍵	fw[su ji[aj xk[xp jm[jy
非交替烴	fw[su jn[li ti[eo tk[hs
非金屬性	fw[su jb[rw uu[up xk[xp
非金屬氧化物	fw[su jb[rw uu[up yh[qy hx[rq wu[nb
非金屬元素	fw[su jb[rw uu[up yr[ee su[fy
非晶態合金	fw[su jk[oo td[dx he[rh jb[rw
非晶態金屬	fw[su jk[oo td[dx jb[rw uu[up
非晶體學對稱性	fw[su jk[oo ti[ra xt[xz dv[yc if[hd xk[xp
非均相膜電極	fw[su jy[tb xl[am mo[oc dm[ov ji[aj
菲可	fw[cf ke[dk
菲可派克	fw[cf ke[dk pd[dp ke[ge
費林溶液	fw[fb lb[aa rs[dx ye[dw
斐林試劑	fw[fw lb[aa ui[yq ji[wd
菲囉啉	fw[cf lo[ks lb[ka
菲囉啉鹽酸鹽	fw[cf lo[ks lb[ka yj[tm sr[ys yj[tm
菲洛嗪	fw[cf lo[dw qb[ks
費米狄拉克分佈	fw[fb mi[ba di[qh la[fl ke[ge ff[bd bu[uj
費米接觸相互作用	fw[fb mi[ba jp[fl iu[di xl[am hu[hv zo[rv ys[ou
非納西丁	fw[su na[sk xi[hk dk[hu
菲尼酮	fw[cf ni[ub ts[yk
非牛頓流動	fw[su nq[pf dy[ty lq[dw ds[el
非平衡態熱力學	fw[su pk[hb hg[rd td[dx re[fd li[vp xt[xz
非平衡系統	fw[su pk[hb hg[rd xi[py ts[sw
廢熱鍋爐	fw[gv re[fd go[jk lu[hh
非瑟酮	fw[su se[wx ts[yk
費舍爾氏醛	fw[fb ue[rg er[dx ui[pq qr[yc
費氏完全佐劑	fw[fb ui[pq wj[ge qr[rw zo[ru ji[wd
非手性	fw[su uz[su xk[xp
非水法後處理	fw[su uv[uu fa[dt hz[pk iu[wb li[wo
非水溶劑	fw[su uv[uu rs[dx ji[wd
菲司	fw[cf si[vh
沸騰幹銨爐	fw[df tg[ob gj[hu an[jg lu[hh
費託催化過程	fw[fb to[fp cv[ru hx[rq go[cz ig[hk
非線性粘彈性	fw[su xm[sj xk[xp nm[mb tj[gb xk[xp
非諧性偶合常數	fw[su xp[yb xk[xp ou[ro he[rh ih[xk uu[mw
飛行時間質譜儀	fw[vp xk[rh ui[oc jm[mo vi[pu pu[yb yi[rd
廢液缸	fw[gv ye[dw gh[wg
廢油處理	fw[gv yz[dy iu[wb li[wo
非整比化合物	fw[su vg[hh bi[bb hx[rq he[rh wu[nb
非質子溶劑	fw[su vi[pu zi[lh rs[dx ji[wd
非質子性溶劑	fw[su vi[pu zi[lh xk[xp rs[dx ji[wd
非自發過程	fw[su zi[pm fa[vy go[cz ig[hk
酚百里酚酞	ff[yf bd[eo li[ot ff[yf td[yd
分辨法	ff[bd bm[ld fa[dt
酚藏花紅	ff[yf ch[cw hx[cr hs[sg
吩惡嗪	ff[kf ee[hx qb[ks
酚二磺酸	ff[yf er[hh hl[eg sr[ys
分光光度法	ff[bd gl[xe gl[xe du[gn fa[dt
酚紅鈉鹽	ff[yf hs[sg na[jk yj[tm
酚紅試紙	ff[yf hs[sg ui[yq vi[su
分解反應	ff[bd jp[dd fj[py yk[gx
酚藍	ff[yf lj[cu
分離單元	ff[bd li[wk dj[bo yr[ee
分離試劑盒	ff[bd li[wk ui[yq ji[wd he[rm
分離液沉澱泵	ff[bd li[wk ye[dw if[dg dm[dg bg[eu
分離液桶	ff[bd li[wk ye[dw ts[as
粉料灰分	ff[mf ln[md hv[uh ff[bd
粉料輸送	ff[mf ln[md uu[ir ss[bz
分餾燒瓶	ff[bd lq[up uc[hq pk[bw
分餾頭	ff[bd lq[up tz[dd
分餾柱	ff[bd lq[up vu[ad
粉末丁腈橡膠	ff[mf mo[ha dk[hu jk[of xl[ad jn[ol
粉末焦糖色素	ff[mf mo[ha jn[vd th[mg se[db su[fy
粉末圖擬合	ff[mf mo[ha tu[ww ni[fs he[rh
吩嗪	ff[kf qb[ks
吩嗪硫酸甲酯	ff[kf qb[ks lq[ew sr[ys jx[ou vi[yb
酚醛樹脂	ff[yf qr[yc uu[ay vi[ob
酚醛塑料	ff[yf qr[yc su[nt ln[md
吩噻嗪	ff[kf sd[kg qb[ks
分散劑	ff[bd sj[gw ji[wd
分散劑溶解槽	ff[bd sj[gw ji[wd rs[dx jp[dd cc[ah
分散劑溶液泵	ff[bd sj[gw ji[wd rs[dx ye[dw bg[eu
分散聚合	ff[bd sj[gw ju[ep he[rh
分散系	ff[bd sj[gw xi[py
分散質	ff[bd sj[gw vi[pu
酚水	ff[yf uv[uu
酚酞啉	ff[yf td[yd lb[ka
酚酞試紙	ff[yf td[yd ui[yq vi[su
分析線	ff[bd xi[aj xm[sj
分液漏斗	ff[bd ye[dw lz[du dz[du
分液裝置	ff[bd ye[dw vl[dy vi[su
分榛	ff[bd vf[as
酚紫	ff[yf zi[vy
分子重排	ff[bd zi[lh is[ph pd[ff
分子反應動力學	ff[bd zi[lh fj[py yk[gx ds[el li[vp xt[xz
分子光譜	ff[bd zi[lh gl[xe pu[yb
分子軌道能級	ff[bd zi[lh gv[ij dc[bz ng[sb ji[sj
分子積分	ff[bd zi[lh ji[hk ff[bd
分子假說	ff[bd zi[lh jx[rk uo[yb
分子間縮合	ff[bd zi[lh jm[mo so[sg he[rh
分子間作用力	ff[bd zi[lh jm[mo zo[rv ys[ou li[vp
分子結構	ff[bd zi[lh jp[su gz[ab
分子晶體	ff[bd zi[lh jk[oo ti[ra
分子空間構型	ff[bd zi[lh ks[xg jm[mo gz[ab xk[kt
分子離子	ff[bd zi[lh li[wk zi[lh
分子篩	ff[bd zi[lh ud[vu
分子篩鈀型	ff[bd zi[lh ud[vu ba[jb xk[kt
分子篩鈣型	ff[bd zi[lh ud[vu gd[jx xk[kt
分子篩鈉型	ff[bd zi[lh ud[vu na[jk xk[kt
分子篩塔	ff[bd zi[lh ud[vu ta[tc
分子篩銅型	ff[bd zi[lh ud[vu ts[jk xk[kt
分子篩吸附器	ff[bd zi[lh ud[vu xi[kj fu[er qi[kq
分子篩型	ff[bd zi[lh ud[vu xk[kt
分子篩型變色	ff[bd zi[lh ud[vu xk[kt bm[yy se[db
分子式	ff[bd zi[lh ui[qg
分子水平	ff[bd zi[lh uv[uu pk[hb
分子碎片法	ff[bd zi[lh sv[ew pm[pu fa[dt
封閉系統	fg[tc bi[mc xi[py ts[sw
峰高	fg[uw gc[wk
封口蠟	fg[tc kz[uv la[ig
鳳梨醇硼烷	fg[jy li[ha iy[yw pg[eo wj[hg
風送系統	fg[ji ss[bz xi[py ts[sw
蜂王酸	fg[iw wh[su sr[ys
峰值吸收法	fg[uw vi[ru xi[kj uz[vw fa[dt
佛波醇	fo[rf bo[dp iy[yw
佛手油	fo[rf uz[su yz[dy
氟氨基甲苯	fu[qf an[qg ji[qt jx[ou bf[ca
脯氨酸	fu[of an[qg sr[ys
伏安圖	fu[rq an[gn tu[ww
氟苯胺	fu[qf bf[ca an[og
氟苯噠唑	fu[qf bf[ca da[kd zo[kr
氟苯酚	fu[qf bf[ca ff[yf
氟苯基吡咯烷	fu[qf bf[ca ji[qt bi[kb lo[kw wj[hg
氟苯基乙酸酯	fu[qf bf[ca ji[qt yi[vv sr[ys vi[yb
氟苯甲腈	fu[qf bf[ca jx[ou jk[of
氟苯甲醛	fu[qf bf[ca jx[ou qr[yc
氟苯甲酸	fu[qf bf[ca jx[ou sr[ys
氟苯甲酸乙酯	fu[qf bf[ca jx[ou sr[ys yi[vv vi[yb
氟苯甲酰氯	fu[qf bf[ca jx[ou xm[yn lv[qx
氟苯肼鹽酸鹽	fu[qf bf[ca jk[oe yj[tm sr[ys yj[tm
氟苯硫酚	fu[qf bf[ca lq[ew ff[yf
氟苯硼酸	fu[qf bf[ca pg[eo sr[ys
氟苯乙酸	fu[qf bf[ca yi[vv sr[ys
氟苯乙酮	fu[qf bf[ca yi[vv ts[yk
氟吡啶	fu[qf bi[kb dk[kg
氟丙胺鹽酸鹽	fu[qf bk[hk an[og yj[tm sr[ys yj[tm
氟鉑酸	fu[qf bo[jb sr[ys
副操	fu[hd cc[fk
氟醋酸鈉	fu[qf cu[yg sr[ys na[jk
附電機	fu[er dm[ov ji[aj
氟丁醇	fu[qf dk[hu iy[yw
氟二苯甲酮	fu[qf er[hh bf[ca jx[ou ts[yk
福爾哈德法	fu[uh er[dx ha[kr de[ru fa[dt
福爾馬林	fu[uh er[dx ma[vv lb[aa
福爾酮	fu[uh er[dx ts[yk
副反應係數	fu[hd fj[py yk[gx xi[py uu[mw
複方來蘇水	fu[ro fh[dw ld[hm su[cl uv[uu
複方新潔爾來	fu[ro fh[dw xb[lj jp[du er[dx ld[hm
複分解	fu[ro ff[bd jp[dd
複分解反應	fu[ro ff[bd jp[dd fj[py yk[gx
氟鋯酸	fu[qf gc[jn sr[ys
氟鋯酸鉀	fu[qf gc[jn sr[ys jx[jo
氟鋯酸鈉	fu[qf gc[jn sr[ys na[jk
氟鈷酸	fu[qf gu[jg sr[ys
氟鈷酸鈣	fu[qf gu[jg sr[ys gd[jx
氟鈷酸鈉	fu[qf gu[jg sr[ys na[jk
氟硅化苯胺	fu[qf gv[et hx[rq bf[ca an[og
氟硅酸	fu[qf gv[et sr[ys
氟硅酸銨	fu[qf gv[et sr[ys an[jg
氟硅酸鋇	fu[qf gv[et sr[ys bw[jb
氟硅酸鉀	fu[qf gv[et sr[ys jx[jo
氟硅酸鎂	fu[qf gv[et sr[ys mw[jb
氟硅酸錳	fu[qf gv[et sr[ys mg[jz
氟硅酸鈉	fu[qf gv[et sr[ys na[jk
氟硅酸鎳	fu[qf gv[et sr[ys np[jz
氟硅酸鐵	fu[qf gv[et sr[ys tp[jp
氟硅酸銅	fu[qf gv[et sr[ys ts[jk
氟硅酸錫	fu[qf gv[et sr[ys xi[jo
氟硅酸鋅	fu[qf gv[et sr[ys xb[jl
符號表達式	fu[vr hc[kk bn[fy da[dz ui[qg
符號檢驗	fu[vr hc[kk jm[ar yj[mr
複合材料	fu[ro he[rh cd[ac ln[md
複合催幹劑	fu[ro he[rh cv[ru gj[hu ji[wd
複合抗氧劑	fu[ro he[rh kh[fw yh[qy ji[wd
複合磷酸鹽	fu[ro he[rh lb[em sr[ys yj[tm
複合鉛穩定劑	fu[ro he[rh qm[jj wf[hd dk[gp ji[wd
複合體穩定劑	fu[ro he[rh ti[ra wf[hd dk[gp ji[wd
氟化銨	fu[qf hx[rq an[jg
氟化鋇	fu[qf hx[rq bw[jb
氟化鉍	fu[qf hx[rq bi[jx
氟化鈣	fu[qf hx[rq gd[jx
氟化鋯鉀	fu[qf hx[rq gc[jn jx[jo
氟化鉻	fu[qf hx[rq ge[jw
氟化鎘	fu[qf hx[rq ge[jh
氟化汞	fu[qf hx[rq gs[gu
氟化鈷	fu[qf hx[rq gu[jg
氟化硅	fu[qf hx[rq gv[et
氟化鈥	fu[qf hx[rq ho[jh
氟化鉀	fu[qf hx[rq jx[jo
氟化鑭	fu[qf hx[rq lj[jm
氟化鋰	fu[qf hx[rq li[jo
氟化硫醯	fu[qf hx[rq lq[ew xi[yw
氟化鋁	fu[qf hx[rq lv[jk
氟化鎂	fu[qf hx[rq mw[jb
氟化鎂銨	fu[qf hx[rq mw[jb an[jg
氟化錳	fu[qf hx[rq mg[jz
氟化鈉	fu[qf hx[rq na[jk
氟化鎳	fu[qf hx[rq np[jz
氟化硼	fu[qf hx[rq pg[eo
氟化鈹	fu[qf hx[rq pi[jp
氟化鈹銨	fu[qf hx[rq pi[jp an[jg
氟化鈹鉀	fu[qf hx[rq pi[jp jx[jo
氟化鉛	fu[qf hx[rq qm[jj
氟化氫	fu[qf hx[rq qk[qs
氟化氫銨	fu[qf hx[rq qk[qs an[jg
氟化氫鉀	fu[qf hx[rq qk[qs jx[jo
氟化氫鈉	fu[qf hx[rq qk[qs na[jk
氟化銫	fu[qf hx[rq se[jd
氟化鍶	fu[qf hx[rq si[jt
氟化銅	fu[qf hx[rq ts[jk
氟化鋅	fu[qf hx[rq xb[jl
氟化亞汞	fu[qf hx[rq ya[hy gs[gu
氟化亞錳	fu[qf hx[rq ya[hy mg[jz
氟化亞砷	fu[qf hx[rq ya[hy uf[eo
氟化亞鉈	fu[qf hx[rq ya[hy ta[jg
氟化亞銅	fu[qf hx[rq ya[hy ts[jk
氟化亞錫	fu[qf hx[rq ya[hy xi[jo
氟化氧	fu[qf hx[rq yh[qy
氟化銀	fu[qf hx[rq yb[jg
氟化銪	fu[qf hx[rq yz[ju
氟磺酸	fu[qf hl[eg sr[ys
氟磺酸鉀	fu[qf hl[eg sr[ys jx[jo
氟磺酸鈉	fu[qf hl[eg sr[ys na[jk
氟茴香硫醚	fu[qf hv[cw xl[ho lq[ew mi[ym
復級	fu[ro ji[sj
富集鈾	fu[gh ji[va yz[jy
副價	fu[hd jx[rr
氟甲苯	fu[qf jx[ou bf[ca
氟甲基苯甲酸	fu[qf jx[ou ji[qt bf[ca jx[ou sr[ys
氟甲基苯硼酸	fu[qf jx[ou ji[qt bf[ca pg[eo sr[ys
氟鎵酸銨	fu[qf jx[jg sr[ys an[jg
附加原子	fu[er jx[lk yr[ib zi[lh
負膠去膠劑	fu[db jn[ol qu[ts jn[ol ji[wd
負膠去膜劑	fu[db jn[ol qu[ts mo[oc ji[wd
傅里葉空間	fu[rf li[ot ye[ku ks[xg jm[mo
負離子	fu[db li[wk zi[lh
負離子粉	fu[db li[wk zi[lh ff[mf
負離子環加成	fu[db li[wk zi[lh hr[wb jx[lk ig[wv
負離子聚合	fu[db li[wk zi[lh ju[ep he[rh
負離子裂解	fu[db li[wk zi[lh lp[hy jp[dd
氟聯苯	fu[qf lm[eb bf[ca
氟聯苯硼酸	fu[qf lm[eb bf[ca pg[eo sr[ys
氟鄰苯二酚	fu[qf lb[re bf[ca er[hh ff[yf
福林酚	fu[uh lb[aa ff[yf
氟磷酸	fu[qf lb[em sr[ys
氟磷酸鈉	fu[qf lb[em sr[ys na[jk
弗路蘭	fu[gp lu[zw lj[bs
氟魯茹派克	fu[qf lu[yo ru[cn pd[dp ke[ge
弗洛蒙	fu[gp lo[dw mg[ch
氟氯甲苯	fu[qf lv[qx jx[ou bf[ca
氟鋁酸銨	fu[qf lv[jk sr[ys an[jg
氟鋁酸鈣	fu[qf lv[jk sr[ys gd[jx
氟鋁酸鉀	fu[qf lv[jk sr[ys jx[jo
氟鋁酸鈉	fu[qf lv[jk sr[ys na[jk
富馬前冰島酸	fu[gh ma[vv qm[bo bk[du dc[nu sr[ys
富馬酸	fu[gh ma[vv sr[ys
富馬酸單甲酯	fu[gh ma[vv sr[ys dj[bo jx[ou vi[yb
富馬酸單乙酯	fu[gh ma[vv sr[ys dj[bo yi[vv vi[yb
富馬酸二丁酯	fu[gh ma[vv sr[ys er[hh dk[hu vi[yb
富馬酸二甲酯	fu[gh ma[vv sr[ys er[hh jx[ou vi[yb
富馬酸二乙酯	fu[gh ma[vv sr[ys er[hh yi[vv vi[yb
富馬酸亞鐵	fu[gh ma[vv sr[ys ya[hy tp[jp
氟馬西尼	fu[qf ma[vv xi[hk ni[ub
輔酶鈉鹽	fu[if mw[yr na[jk yj[tm
輔酶三鋰鹽	fu[if mw[yr sj[hh li[jo yj[tm
氟嘧啶	fu[qf mi[kg dk[kg
氟米松	fu[qf mi[ba ss[ab
氟萘	fu[qf nd[cd
呋喃	fu[ke nj[ku
呋喃吡咯烷	fu[ke nj[ku bi[kb lo[kw wj[hg
呋喃丙烯腈	fu[ke nj[ku bk[hk xi[hi jk[of
呋喃丙烯酸	fu[ke nj[ku bk[hk xi[hi sr[ys
呋喃甲胺	fu[ke nj[ku jx[ou an[og
呋喃甲醇	fu[ke nj[ku jx[ou iy[yw
呋喃甲醛	fu[ke nj[ku jx[ou qr[yc
呋喃甲酸乙酯	fu[ke nj[ku jx[ou sr[ys yi[vv vi[yb
呋喃甲酰胺	fu[ke nj[ku jx[ou xm[yn an[og
呋喃甲酰氯	fu[ke nj[ku jx[ou xm[yn lv[qx
呋喃硫銨	fu[ke nj[ku lq[ew an[jg
呋喃嘧酮	fu[ke nj[ku mi[kg ts[yk
呋喃酮	fu[ke nj[ku ts[yk
覆盆子酮	fu[ro pf[fm zi[lh ts[yk
氟硼酸	fu[qf pg[eo sr[ys
氟硼酸銨	fu[qf pg[eo sr[ys an[jg
氟硼酸鎘	fu[qf pg[eo sr[ys ge[jh
氟硼酸鈷	fu[qf pg[eo sr[ys gu[jg
氟硼酸鉀	fu[qf pg[eo sr[ys jx[jo
